TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
70.167038,99.875618,15.8298769,1.5015948,17.3318729,14.3282576,15.60425,1.8535347,17.4572849,13.7506027,15.7260695,2.2188258,17.9450951,13.5072451,16.6755714,1.5557091,18.2315445,15.1198683,,
70.1805725,99.8772202,15.7671614,1.509709,17.2772713,14.2574263,15.5837955,1.8537223,17.4370155,13.7299595,15.6889009,2.2243876,17.9134865,13.4645109,16.6101646,1.5606186,18.1710472,15.0495548,,
70.2323456,99.8752289,16.0249596,1.5415438,17.5669041,14.4833889,15.8019695,1.8993152,17.7007866,13.9025402,15.9482832,2.2647645,18.2132473,13.6835175,16.7810421,1.5833879,18.3646965,15.1976643,,
70.2370987,99.8755341,16.2382984,1.5814956,17.8201942,14.6567764,15.9918947,1.9396098,17.9310036,14.0521717,16.1234169,2.3021092,18.4257259,13.8213072,17.0086231,1.5893278,18.5982113,15.419302,,
70.2176971,99.8767853,16.0185757,1.5804288,17.5994034,14.4381208,15.8039474,1.9321508,17.7355976,13.8716831,15.9276762,2.2909472,18.2188225,13.6367283,16.8695946,1.5852175,18.4550762,15.2843857,,
70.1367645,99.8757401,15.7696667,1.558358,17.3284264,14.2112837,15.5589828,1.9150041,17.4734859,13.6438656,15.6949892,2.2816191,17.9768066,13.4133701,16.698576,1.562457,18.2612953,15.1361265,,
70.0344696,99.8746414,15.5216293,1.5428219,17.0648499,13.9787846,15.3028412,1.9030912,17.2054329,13.3996372,15.4436646,2.2752082,17.7190723,13.1684542,16.5967388,1.5575483,18.1545467,15.0391951,,
70.0759735,99.8732452,15.5199127,1.5791276,17.0994396,13.9407606,15.3005886,1.934303,17.2343941,13.3661747,15.4717436,2.3012695,17.7732124,13.170476,16.6534462,1.5983826,18.2520905,15.0550709,,
69.9910431,99.8730316,15.444911,1.633117,17.0784264,13.8117704,15.2263889,1.9827831,17.2086697,13.243494,15.3821735,2.3582273,17.7405987,13.0239468,16.692297,1.6097202,18.3022785,15.0825834,,
69.8775482,99.8722076,15.1151705,1.5894541,16.7050247,13.5256939,14.8818998,1.9497635,16.8311634,12.9320278,15.0481081,2.3228245,17.3711338,12.7252827,16.5391273,1.5764227,18.1158123,14.9627104,,
69.7743759,99.8713684,14.7451353,1.5711319,16.3166695,13.1739826,14.5336781,1.925704,16.4588833,12.6078663,14.6997242,2.310596,17.010519,12.3891277,16.2977104,1.5798357,17.8778095,14.7178822,,
69.7571945,99.8718109,14.5462847,1.560704,16.1073875,12.9855604,14.3407421,1.913625,16.2538662,12.4270115,14.5118504,2.2869363,16.7989845,12.2249126,16.1727028,1.5667411,17.7397041,14.6059694,,
69.778656,99.871048,14.6342573,1.5583947,16.1930523,13.0758419,14.4072218,1.9087875,16.3155098,12.4983282,14.5803804,2.2780168,16.8585949,12.3023624,16.2483253,1.6044811,17.8530693,14.6438494,,
69.745163,99.8725586,14.721611,1.5637349,16.2857456,13.1578541,14.4934978,1.9144678,16.407465,12.5789204,14.6311111,2.2881618,16.9194698,12.3429489,16.4373817,1.6348403,18.072485,14.8025494,,
69.7570343,99.8734512,14.7376251,1.5775813,16.3156052,13.1600237,14.4927397,1.9137833,16.406023,12.5788479,14.60359,2.2708604,16.8746529,12.3327303,16.581728,1.6987646,18.280756,14.8829708,,
69.7858734,99.8735733,14.8246965,1.6060524,16.4311485,13.2186222,14.5620012,1.901706,16.4632072,12.6601868,14.6172962,2.2507129,16.8682079,12.3665838,16.8627014,1.8445947,18.7075615,15.018117,,
69.7785797,99.8745575,14.8435469,1.6313101,16.4752579,13.2122145,14.5492935,1.9078478,16.4566422,12.6413374,14.5655804,2.2349589,16.8007393,12.3306217,17.0138969,1.9357021,18.9498634,15.0782042,,
69.7809906,99.874176,14.971159,1.6276867,16.599247,13.3434505,14.6272936,1.894016,16.5208111,12.7331686,14.6186295,2.2074437,16.826273,12.4111862,17.1811867,1.9604874,19.1419373,15.2207088,,
69.7220306,99.8735504,15.1846037,1.6722648,16.8572674,13.5123158,14.7777224,1.9425066,16.7197304,12.8351078,14.7486696,2.2492781,16.998148,12.4993925,17.2796459,1.9589583,19.2388668,15.3206987,,
69.6406326,99.8736496,15.0652132,1.7294681,16.7950783,13.335721,14.6524229,1.9911928,16.643116,12.6611214,14.6066465,2.2953336,16.9021816,12.3113136,17.1969318,1.9603386,19.1575356,15.2366047,,
69.5691376,99.8745651,14.856926,1.7732595,16.6305847,13.0836439,14.4690151,2.0230355,16.4915524,12.4458742,14.4024935,2.3293457,16.7320385,12.0731478,17.0459137,1.9473299,18.9935093,15.0985947,,
