t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
1.0,18.87,1.61,30.377,1692,1006.8569955,1019.4697352,1.01,270.0,66.0,28.9,28.5,10.73,3.1,16.77,4.1,15.46,5.48,20.77,0.06,120,29,111,39,0,,0,REST,19.5,49,652,764,7269,302.9,5.05,0,77.5,0,0,7269,0,0.0,100.0,1.01,0,1.79,1.39,3.18,0.56,0.24,1.483,0,0,0,,25,86.7,0,0.9,40.86
5.0,15.83,3.021,47.826,2147,1693.0550961,1771.5649303,1.05,497.5,136.5,27.6,26.4,18.04,5.2,16.47,4.52,15.36,5.6,20.77,0.06,118,32,110,40,0,,0,REST,19.5,49,652,764,12314,513.1,8.55,0,131.2,0,0,12314,0,0.0,100.0,1.05,0,1.7,2.09,3.79,0.45,0.2,1.68,4,0,0,,42,79.1,0,1.78,41.63
8.0,19.61,1.881,36.882,1966,1092.4140131,1192.4717406,1.09,321.6,74.7,32.5,29.8,11.64,3.3,17.1,3.97,15.94,5.25,20.73,0.08,123,28,114,38,0,,0,REST,19.5,49,652,764,8024,334.3,5.57,1,85.5,0,0,8024,0,0.0,100.0,1.09,0,1.66,1.4,3.06,0.54,0.24,1.567,3,0,0,,27,83.9,0,1.13,39.37
11.0,21.43,1.661,35.593,1857,998.2287561,1113.9994782,1.12,287.9,63.4,34.2,30.6,10.64,3.0,17.33,3.82,16.21,5.1,20.79,0.05,124,27,116,37,0,,0,REST,19.5,49,652,764,7371,307.1,5.12,1,78.5,0,0,7371,0,0.0,100.0,1.12,0,1.52,1.28,2.8,0.54,0.25,1.551,3,0,0,,25,84.4,0,1.09,38.41
15.0,14.42,1.519,21.909,2341,598.1969288,697.9439805,1.17,264.3,59.0,34.9,29.9,6.37,1.8,17.4,3.88,16.25,5.21,20.8,0.05,125,28,117,37,0,,0,REST,19.5,49,652,764,4465,186.0,3.1,1,47.6,0,0,4465,0,0.0,100.0,1.17,0,2.1,2.06,4.16,0.5,0.24,1.341,4,0,0,,15,90.4,0,0.72,39.12
17.0,31.75,1.634,51.873,348,1902.916051,2121.5392549,1.11,266.0,81.9,26.1,23.4,20.28,5.8,16.28,5.01,15.52,5.81,20.8,0.09,117,36,111,42,0,,0,REST,19.5,49,652,764,14047,585.3,9.76,1,149.7,0,0,14047,0,0.0,100.0,1.11,0,0.56,1.33,1.89,0.3,0.12,1.715,2,0,0,,47,77.3,0,2.92,42.99
19.0,25.0,1.308,32.7,1493,929.4584972,1034.7487709,1.11,226.0,50.6,33.3,29.9,9.9,2.8,17.28,3.87,15.95,5.38,20.78,0.06,124,28,114,39,0,,0,REST,19.5,49,652,764,6859,285.8,4.76,2,73.1,0,0,6859,0,0.0,100.0,1.11,0,1.13,1.27,2.4,0.47,0.26,1.515,2,0,0,,23,85.7,0,1.16,40.21
23.0,15.92,2.799,44.546,2624,1290.6656058,1524.6878458,1.18,480.9,116.7,33.7,28.5,13.75,3.9,17.18,4.17,16.25,5.22,20.8,0.05,123,30,117,37,0,,0,REST,19.5,49,652,764,9663,402.6,6.71,2,103.0,0,0,9663,0,0.0,100.0,1.18,0,1.81,1.96,3.77,0.48,0.21,1.649,4,0,0,,32,80.5,0,1.55,39.18
26.0,17.44,1.646,28.709,1815,757.9721761,901.6080792,1.19,288.0,63.2,36.3,30.5,8.08,2.3,17.5,3.84,16.38,5.13,20.8,0.06,125,28,117,37,0,,0,REST,19.5,49,652,764,5685,236.9,3.95,2,60.6,0,0,5685,0,0.0,100.0,1.19,0,1.72,1.72,3.44,0.5,0.24,1.458,3,0,0,,19,87.5,0,0.96,38.6
30.0,19.42,1.129,21.922,1129,536.1797998,627.9704688,1.17,200.3,39.6,38.4,32.7,5.71,1.6,17.74,3.51,16.48,4.99,20.79,0.06,127,25,118,36,0,,0,REST,19.5,49,652,764,4006,166.9,2.78,3,42.7,0,0,4006,0,0.0,100.0,1.17,0,1.33,1.76,3.09,0.43,0.27,1.341,4,0,0,,13,90.4,0,0.85,37.7
33.0,20.07,1.096,21.993,873,597.1395747,672.6320492,1.13,191.1,41.0,34.5,30.6,6.36,1.8,17.44,3.74,16.02,5.32,20.79,0.06,125,27,115,38,0,,0,REST,19.5,49,652,764,4419,184.1,3.07,3,47.1,0,0,4419,0,0.0,100.0,1.13,0,1.52,1.47,2.99,0.51,0.26,1.342,3,0,0,,15,90.4,0,0.72,39.83
36.0,16.53,1.338,22.116,1024,667.5220783,731.0290434,1.1,228.6,53.9,31.4,28.7,7.11,2.0,17.09,4.03,15.72,5.53,20.79,0.05,123,29,113,40,0,,0,REST,19.5,49,652,764,4907,204.4,3.41,3,52.3,0,0,4907,0,0.0,100.0,1.1,0,1.64,1.99,3.63,0.45,0.25,1.345,3,0,0,,16,90.3,0,0.82,41.18
40.0,17.19,1.024,17.605,1101,495.2118275,524.0132745,1.06,177.8,37.3,33.1,31.3,5.28,1.5,17.36,3.64,15.8,5.36,20.79,0.06,124,26,113,38,0,,0,REST,19.5,49,652,764,3611,150.5,2.51,3,38.5,0,0,3611,0,0.0,100.0,1.06,0,1.62,1.87,3.49,0.46,0.28,1.246,4,0,0,,12,92.3,0,0.63,40.09
43.0,20.55,1.302,26.753,1146,825.8923185,867.5846182,1.05,221.8,51.6,30.7,29.2,8.8,2.5,17.04,3.96,15.59,5.51,20.79,0.06,122,28,112,40,0,,0,REST,19.5,49,652,764,6012,250.5,4.18,3,64.1,0,0,6012,0,0.0,100.0,1.05,0,1.38,1.54,2.92,0.47,0.25,1.427,3,0,0,,20,88.3,0,0.94,41.05
45.0,20.41,1.293,26.388,1175,792.2276592,838.0391924,1.06,221.4,50.2,31.5,29.8,8.44,2.4,17.12,3.88,15.58,5.5,20.78,0.06,123,28,112,39,0,,0,REST,19.5,49,652,764,5777,240.7,4.01,3,61.6,0,0,5777,0,0.0,100.0,1.06,0,1.26,1.68,2.94,0.43,0.27,1.421,2,0,0,,20,88.5,0,1.03,40.99
49.0,19.23,2.024,38.923,1684,1247.9647815,1338.7214523,1.07,341.5,85.0,30.1,28.1,13.3,3.8,16.87,4.2,15.86,5.3,20.79,0.06,121,30,114,38,0,,0,REST,19.5,49,652,764,9129,380.4,6.34,4,97.3,0,0,9129,0,0.0,100.0,1.07,0,1.46,1.66,3.12,0.47,0.21,1.59,4,0,0,,31,83.0,0,1.39,39.7
51.0,27.4,0.864,23.671,1361,526.3863096,573.2159441,1.09,155.9,25.7,41.3,37.9,5.61,1.6,18.04,2.97,16.58,4.6,20.77,0.06,129,21,119,33,0,,0,REST,19.5,49,652,764,3864,161.0,2.68,4,41.2,0,0,3864,0,0.0,100.0,1.09,0,1.29,0.9,2.19,0.59,0.31,1.374,2,0,0,,13,89.7,0,0.67,35.18
54.0,21.58,1.347,29.072,1220,738.6512503,862.3158064,1.17,234.6,50.1,37.3,32.0,7.87,2.2,17.42,3.72,16.03,5.22,20.58,0.15,125,27,115,37,0,,0,REST,19.5,49,652,764,5514,229.8,3.83,4,58.8,0,0,5514,0,0.0,100.0,1.17,0,1.11,1.67,2.78,0.4,0.27,1.463,3,0,0,,18,87.3,0,1.21,39.18
55.0,29.41,0.588,17.294,1128,298.3113293,331.0571082,1.11,109.7,13.9,51.1,46.0,3.18,0.9,18.66,2.36,17.23,3.95,20.78,0.06,134,17,124,28,0,,0,REST,19.5,49,652,764,2200,91.7,1.53,4,23.4,0,0,2200,0,0.0,100.0,1.11,0,1.29,0.75,2.04,0.63,0.33,1.238,1,0,0,,7,92.4,0,0.46,30.99
58.0,22.64,1.396,31.608,1358,853.9868715,969.2761147,1.14,243.0,52.5,35.2,31.0,9.1,2.6,17.41,3.76,16.05,5.27,20.75,0.07,125,27,115,38,0,,0,REST,19.5,49,652,764,6331,263.8,4.4,4,67.5,0,0,6331,0,0.0,100.0,1.14,0,1.18,1.47,2.65,0.45,0.27,1.5,3,0,0,,21,86.2,0,1.18,39.5
61.0,23.26,1.133,26.349,1050,747.2977339,817.9768272,1.09,196.0,42.9,33.1,30.2,7.96,2.3,17.3,3.79,15.78,5.42,20.78,0.05,124,27,113,39,0,,0,REST,19.5,49,652,764,5492,228.9,3.81,4,58.5,0,0,5492,0,0.0,100.0,1.09,0,1.29,1.29,2.58,0.5,0.27,1.421,3,0,0,,18,88.5,0,0.88,40.47
64.0,20.34,1.023,20.807,1409,589.0598461,623.3596619,1.06,177.4,37.4,32.9,31.1,6.28,1.8,17.34,3.66,15.79,5.37,20.79,0.05,124,26,113,39,0,,0,REST,19.5,49,652,764,4296,179.0,2.98,5,45.8,0,0,4296,0,0.0,100.0,1.06,0,1.7,1.25,2.95,0.58,0.28,1.318,3,0,0,,15,90.9,0,0.6,40.15
66.0,21.9,1.957,42.854,1079,1550.2998107,1616.0579681,1.04,320.7,90.0,26.7,25.6,16.52,4.7,16.39,4.6,15.11,5.86,20.78,0.06,117,33,108,42,0,,0,REST,19.5,49,652,764,11266,469.4,7.82,5,120.0,0,0,11266,0,0.0,100.0,1.04,0,1.04,1.7,2.74,0.38,0.2,1.632,2,0,0,,38,81.3,0,1.88,43.31
