TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
68.1528473,99.9362335,1.7193989,4.1698475,5.8895464,-2.4504874,1.1040399,4.549283,5.6534233,-3.445277,0.3287261,4.5695038,4.8981304,-4.2405787,11.6669207,2.7414756,14.4077559,8.9253483,,
68.0518494,99.9363708,1.585876,4.1983519,5.7845278,-2.612514,0.966634,4.5842791,5.5510135,-3.6176789,0.1862633,4.6066952,4.7928586,-4.4202318,11.5625153,2.7307935,14.2926693,8.831624,,
68.0901489,99.9344635,1.7185926,4.2442966,5.9631891,-2.5257428,1.0738914,4.6338859,5.7078781,-3.5600288,0.3360743,4.6557126,4.9916873,-4.3194389,11.8732729,2.7909503,14.6635847,9.0822258,,
68.0102081,99.9345093,1.7063309,4.3029909,6.0096221,-2.5967002,1.0625882,4.6794291,5.7421165,-3.6168742,0.2921412,4.7117801,5.0038214,-4.4194388,11.9348011,2.8358998,14.7700624,9.0988045,,
67.9381256,99.9348755,1.5897738,4.3359561,5.9260302,-2.7462213,0.947601,4.7164073,5.6641078,-3.7688394,0.1735782,4.7470236,4.9205017,-4.573245,11.793129,2.8077857,14.600276,8.9852476,,
67.8856201,99.9368744,1.4829717,4.390121,5.8733931,-2.9071879,0.8615626,4.7817221,5.6433845,-3.9201932,0.0790255,4.7999363,4.8788619,-4.7207108,11.6488504,2.7918596,14.4400711,8.8568935,,
67.7826233,99.9362335,1.4353964,4.4519463,5.8876429,-3.0165887,0.8056628,4.8445411,5.6503038,-4.0389118,0.0187983,4.8737922,4.8924909,-4.8547945,11.5458651,2.8187633,14.3639889,8.727005,,
67.8300171,99.9365005,1.5962355,4.5384212,6.1349564,-2.942225,0.9899334,4.925221,5.9152546,-3.9353218,0.2059422,4.9592524,5.1650939,-4.7531099,11.8320589,2.8834467,14.7148666,8.9485168,,
67.8562469,99.9363556,1.7444652,4.6288218,6.3735876,-2.8843963,1.1193411,5.0110502,6.1304917,-3.8917446,0.3429208,5.031868,5.3746881,-4.6887469,12.0554848,2.9565051,15.0113525,9.0988846,,
67.7818146,99.9369659,1.7565467,4.6850824,6.4419289,-2.9285748,1.1127892,5.0769305,6.1898203,-3.9641769,0.3278497,5.0903201,5.4180698,-4.7622709,12.0571766,2.9726598,15.0291996,9.0844231,,
67.6915894,99.938179,1.7397236,4.7482333,6.488256,-3.0085492,1.0958589,5.1424952,6.2384534,-4.0466719,0.2813282,5.1544294,5.435658,-4.872901,12.0586348,2.9864953,15.0444927,9.0720453,,
67.6252975,99.93853,1.7572435,4.8187065,6.5762506,-3.0615029,1.1128603,5.2120309,6.3249907,-4.099206,0.2825782,5.2274485,5.5099268,-4.9446707,12.0322351,3.0306253,15.0622225,9.0015163,,
67.5783463,99.9395294,1.7322994,4.8883848,6.6209846,-3.1561255,1.0950043,5.2745719,6.3696761,-4.1796045,0.2406933,5.2847347,5.5253286,-5.0438423,11.9942303,3.059855,15.0534468,8.9342823,,
67.4796677,99.9401855,1.6985693,4.9407268,6.639596,-3.242197,1.026592,5.3351407,6.3618326,-4.3085852,0.1577044,5.3297281,5.4873323,-5.171824,12.015955,3.0998483,15.1151657,8.9160137,,
67.4167252,99.940361,1.7084576,5.0226607,6.7314186,-3.3142438,1.0275277,5.4150915,6.4427195,-4.3875999,0.1487262,5.4070549,5.5556812,-5.2581286,12.0740442,3.1344492,15.2078581,8.9395018,,
67.3343735,99.9415817,1.6432781,5.0715828,6.7151613,-3.4283442,0.9715328,5.4617591,6.4333916,-4.4902625,0.060415,5.4535031,5.5138183,-5.3928885,12.0033016,3.1557674,15.158432,8.8474417,,
67.267746,99.9425201,1.5604942,5.1326609,6.6934547,-3.5722058,0.9013726,5.5181499,6.4196229,-4.6168132,-0.0317737,5.5079842,5.4761105,-5.5395575,11.8859463,3.1710758,15.056386,8.7147779,,
67.2047424,99.9429169,1.393617,5.1637812,6.5576987,-3.7702031,0.7308069,5.5455899,6.2764978,-4.8148184,-0.2091108,5.5246959,5.3154855,-5.7336068,11.7630558,3.1468155,14.9092331,8.6161451,,
67.070488,99.942749,1.1843307,5.1545725,6.3392038,-3.9702804,0.5023722,5.5394373,6.0419092,-5.0370994,-0.4521379,5.5200319,5.0677943,-5.9719706,11.6223469,3.1012628,14.7229719,8.5209894,,
66.9634628,99.9441681,1.0456305,5.195394,6.2413244,-4.1498017,0.3651951,5.5825109,5.9478064,-5.21735,-0.6195972,5.5553222,4.9356251,-6.1747198,11.4969683,3.0892782,14.5856075,8.4075947,,
66.9438705,99.9440231,0.9149319,5.241262,6.1564937,-4.3263669,0.250768,5.6279211,5.8787894,-5.3771868,-0.7153097,5.5983553,4.882946,-6.3134651,11.3743696,3.0946622,14.4683943,8.2796116,,
66.8507614,99.9440231,0.8601341,5.297471,6.1579046,-4.4373736,0.1884812,5.6957889,5.8843699,-5.5073409,-0.7729174,5.6685171,4.8954992,-6.4412336,11.2536001,3.1081467,14.3611088,8.1453581,,
66.756134,99.9440613,0.816819,5.3719506,6.1890697,-4.5551691,0.1529984,5.7703648,5.9234638,-5.6174002,-0.8199283,5.7542009,4.9341717,-6.5739288,11.1427612,3.1283705,14.2704945,8.0142956,,
66.7299957,99.9452209,0.7435327,5.4391513,6.1829844,-4.6956553,0.0993189,5.832119,5.9315376,-5.7328334,-0.8870304,5.8072233,4.9200926,-6.6940536,11.0490198,3.1526368,14.2010174,7.896287,,
66.6757126,99.9455032,0.6789356,5.4855204,6.1647558,-4.8066216,0.0363226,5.8833957,5.9198189,-5.8471069,-0.9484116,5.8560286,4.907517,-6.8042397,10.9726963,3.159296,14.1313553,7.8133049,,
66.5735016,99.9457474,0.6166129,5.5447702,6.1616836,-4.928194,-0.0327353,5.9458899,5.9132543,-5.9786577,-1.0303435,5.9206362,4.8901925,-6.9507799,10.9185314,3.1808918,14.0987854,7.7375436,,
66.5358276,99.946373,0.5549871,5.6110868,6.1663733,-5.0561357,-0.0827606,6.0155039,5.9328432,-6.0982981,-1.0780044,5.9844904,4.9063864,-7.0622954,10.855051,3.208318,14.0627308,7.6466379,,
66.4494476,99.9469452,0.5437263,5.6815643,6.2255912,-5.1378751,-0.094441,6.0923018,5.9979615,-6.1867762,-1.1020548,6.0632429,4.9610887,-7.1650987,10.820755,3.2297504,14.0498676,7.5909095,,
66.3488693,99.947319,0.5120153,5.7443581,6.2566729,-5.232379,-0.1300479,6.1582217,6.0282736,-6.2883029,-1.1554177,6.133409,4.9778919,-7.2886267,10.7583408,3.2504063,14.0081081,7.5078382,,
66.3589325,99.9476852,0.5069999,5.8381553,6.3454552,-5.3311915,-0.1111858,6.2430124,6.1319265,-6.3542309,-1.1334338,6.2150197,5.0814857,-7.3482537,10.7502651,3.2780712,14.0276995,7.4720984,,
66.2616119,99.9481888,0.5494494,5.9328432,6.4825926,-5.3834305,-0.0872946,6.3628969,6.2757015,-6.4502258,-1.0976995,6.3288741,5.2310753,-7.426374,10.7461548,3.3130736,14.0585909,7.4329863,,
66.2410889,99.9484558,0.5367455,6.0220718,6.5591164,-5.4853621,-0.0917095,6.4494605,6.357852,-6.541204,-1.0974766,6.4098916,5.312314,-7.5071669,10.7431202,3.3596568,14.1021404,7.3833685,,
66.1766205,99.9493256,0.47422,6.0813894,6.5559096,-5.6072049,-0.13682,6.5028419,6.3661227,-6.6396966,-1.1681998,6.4658136,5.297514,-7.6338134,10.6989717,3.3903224,14.0886555,7.3085546,,
66.1175232,99.9499664,0.4181871,6.1474504,6.565938,-5.7293005,-0.1785697,6.5557137,6.377244,-6.7343178,-1.2397445,6.5209465,5.2811022,-7.7604904,10.6492424,3.4318244,14.0804291,7.2173223,,
65.9609909,99.9497147,0.3565779,6.1891956,6.5460739,-5.832654,-0.2834304,6.6108871,6.3275571,-6.894352,-1.3540002,6.5745301,5.2204294,-7.9283304,10.5809774,3.416352,13.9966917,7.1645308,,
65.8638611,99.9505768,0.2167898,6.205308,6.4223976,-5.9885545,-0.4376074,6.637558,6.2000513,-7.0751982,-1.5186061,6.5888267,5.0701203,-8.107233,10.4838209,3.3987718,13.8819551,7.0849543,,
65.783989,99.9511566,0.045707,6.2305574,6.2765646,-6.184886,-0.6020507,6.6431527,6.0412021,-7.2452354,-1.7223299,6.592504,4.8700743,-8.3146324,10.3443575,3.3937116,13.7374296,6.9505491,,
65.6617432,99.9518356,-0.0962124,6.2541499,6.1582384,-6.3503976,-0.7575477,6.6782999,5.9208517,-7.4358797,-1.890445,6.6213865,4.7308421,-8.511632,10.2053432,3.3909004,13.5956059,6.8143473,,
65.5994186,99.9521484,-0.2060404,6.2873034,6.081563,-6.4933767,-0.856155,6.7107835,5.8547282,-7.5669699,-1.9969761,6.6562071,4.6591315,-8.6529837,10.1028728,3.3818066,13.4840393,6.7209692,,
65.5002213,99.9522629,-0.2578077,6.350049,6.0925417,-6.6078911,-0.918826,6.7752047,5.8564782,-7.6940613,-2.0715873,6.7213449,4.6496572,-8.7927322,9.9830875,3.4061596,13.388608,6.5768304,,
65.393364,99.9525452,-0.2934904,6.4185057,6.1253152,-6.7120299,-0.9707658,6.8607535,5.8900876,-7.8315516,-2.1192217,6.8034983,4.6841764,-8.9225197,9.9152622,3.4065566,13.3211803,6.5086088,,
65.3739319,99.9534378,-0.3521929,6.4914522,6.1395597,-6.8436799,-1.0049436,6.9287324,5.9238892,-7.9337072,-2.1620033,6.8663931,4.7042899,-9.0281963,9.8420067,3.4280415,13.2694092,6.413868,,
65.2802429,99.9539871,-0.4567172,6.5358438,6.0794263,-6.9925947,-1.1144278,6.9711418,5.8568139,-8.0855999,-2.2924998,6.9047747,4.612174,-9.1970739,9.7377176,3.4482734,13.1853533,6.2893467,,
65.203598,99.9548187,-0.5582932,6.5841255,6.0261326,-7.1424522,-1.2173965,7.0151052,5.7978091,-8.2325315,-2.4190068,6.9399848,4.5208778,-9.3587923,9.6335325,3.4684818,13.1013746,6.1649542,,
65.1097336,99.9545517,-0.6458499,6.630549,5.9849987,-7.276432,-1.3162566,7.0575571,5.7413993,-8.3738432,-2.5287042,6.9850569,4.4562521,-9.5135603,9.5644016,3.4606786,13.0244398,6.1036258,,
65.0012665,99.9541855,-0.6694165,6.689065,6.0199485,-7.3585143,-1.3615512,7.1245689,5.7631178,-8.4861507,-2.5742114,7.0559349,4.4816236,-9.6299458,9.4833889,3.4834511,12.9661999,5.9998393,,
64.9852295,99.9548187,-0.7129133,6.7742243,6.0616107,-7.4871712,-1.3960365,7.220973,5.825037,-8.6170406,-2.5868974,7.1386328,4.5516362,-9.7253313,9.4098301,3.5161681,12.9253588,5.8935652,,
64.9429092,99.9552841,-0.7158993,6.8689051,6.1533065,-7.5848379,-1.3724682,7.3116784,5.939311,-8.6841793,-2.5733061,7.2370086,4.6636033,-9.8101149,9.3551617,3.5419097,12.8964329,5.8131533,,
64.9070511,99.9560547,-0.7683381,6.9486399,6.1806021,-7.7170115,-1.3972403,7.393889,5.9967484,-8.7911587,-2.5994196,7.3196321,4.7201128,-9.9188519,9.2700567,3.5812714,12.850688,5.6886888,,
64.7976837,99.956398,-0.7981585,7.0243979,6.2265387,-7.8225884,-1.4212704,7.4707131,6.0495434,-8.8920155,-2.6450019,7.406755,4.7616534,-10.0515566,9.1942816,3.6251235,12.8187666,5.5690598,,
64.754776,99.9562912,-0.8938531,7.0614176,6.1678638,-7.9553032,-1.5202711,7.5173798,5.9972086,-9.0376816,-2.7233682,7.4475555,4.7240877,-10.1707249,9.0864983,3.6538131,12.7396736,5.4325881,,
