O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
16.3609123,-1.2744799,15.0866318,17.2140064,-1.1529882,16.0614166,16.0215454,-1.2242835,14.7975636,36.0327377,4.0432119,40.0755959,31.5744476,1.7696899,33.3441544,25.4358692,0.5123245,25.9478188,79.7738495,99.9844055,,
16.3704586,-1.2174436,15.1532154,17.1997013,-1.1081806,16.0919209,16.0185165,-1.1847181,14.8341007,35.8847198,4.1227698,40.0071335,31.4719505,1.7646763,33.2366409,25.326664,0.5214214,25.8477058,79.7684555,99.9840546,,
16.3786621,-1.1557803,15.2230816,17.2106152,-1.0660539,16.1449623,16.0203667,-1.1470822,14.8735857,35.8557053,4.150085,40.0054359,31.4554081,1.765075,33.2204971,25.2526779,0.5234784,25.7757759,79.7889709,99.9838333,,
16.4440231,-1.132115,15.3121061,17.2142735,-1.025879,16.1887951,16.0259552,-1.1044689,14.9217863,35.9671631,4.1089282,40.075737,31.378458,1.7706501,33.1491203,25.1953564,0.5366933,25.7316685,79.6458511,99.9837265,,
16.4584446,-1.084399,15.3742466,17.2290993,-0.9893649,16.2401333,16.0210133,-1.0684978,14.9528122,35.9253616,4.124362,40.0493774,31.3392639,1.7565721,33.0958557,25.1307087,0.5430075,25.673336,79.6215363,99.9836578,,
16.4514065,-1.0280509,15.4235554,17.2795143,-0.9816494,16.2982674,16.0323238,-1.0511637,14.9814587,35.9308319,4.1929984,40.1234703,31.3773956,1.7482029,33.1256104,25.1107502,0.5368805,25.6472511,79.725174,99.9829483,,
16.4799042,-1.0110821,15.4690228,17.2963524,-0.9699206,16.3268299,16.0282478,-1.034722,14.9938278,35.914547,4.2322712,40.1464729,31.3887444,1.7554319,33.1441879,25.1038284,0.5470531,25.6505032,79.6760178,99.9827728,,
16.531353,-1.0277877,15.503767,17.2715855,-0.9369458,16.3350391,16.0318336,-1.0229819,15.0091476,36.0967445,4.1026158,40.1990089,31.3758888,1.7744547,33.1503525,25.0934486,0.562312,25.6553841,79.5473557,99.9838181,,
16.5468407,-1.0249083,15.522131,17.2771816,-0.9250682,16.3525124,16.0389996,-1.0086679,15.0306339,36.0891876,4.1137204,40.2025604,31.3527412,1.808696,33.1614494,25.0934486,0.562312,25.6553841,79.50177,99.9838867,,
16.5416298,-1.0172508,15.5245771,17.2933655,-0.9233314,16.3704338,16.026865,-0.9986827,15.0284824,36.0081253,4.156126,40.1639023,31.3656006,1.7896731,33.1552849,25.0934486,0.562312,25.6553841,79.4757462,99.9838715,,
16.5364113,-1.0095837,15.527029,17.2669106,-0.9025407,16.3647671,16.0182762,-0.9899901,15.0285892,35.9991226,4.1386642,40.1374359,31.3527412,1.808696,33.1614494,25.0934486,0.562312,25.6553841,79.4591522,99.9842224,,
16.5026836,-0.9856515,15.5172319,17.2556496,-0.8858815,16.3701668,16.0074234,-0.9792604,15.0284624,35.957283,4.1541133,40.1110458,31.2986546,1.8286688,33.1273384,25.0334969,0.570745,25.6038628,79.5027618,99.984375,,
16.5424824,-0.9877127,15.5549717,17.2374592,-0.8681305,16.3697281,15.9706783,-0.960559,15.0104198,36.0307846,4.122817,40.1532555,31.232708,1.830179,33.0629044,24.9651775,0.5650442,25.5298481,79.3397675,99.9845505,,
16.4885216,-0.9545735,15.5341444,17.1862965,-0.8473975,16.3392982,15.930048,-0.9426201,14.9877272,35.8974991,4.1346512,40.0317993,31.1334324,1.8211771,32.9546242,24.8862419,0.5575064,25.4433689,79.3604431,99.9842911,,
16.4868641,-0.941882,15.5451813,17.14217,-0.8388312,16.3037376,15.8613405,-0.9224482,14.9391909,35.8594742,4.1445422,40.0036659,31.0441017,1.7857908,32.8299065,24.738905,0.5539554,25.2924843,79.2257614,99.9837799,,
