TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
69.5361252,99.8568268,-1.3645031,-0.7940751,-2.1585784,-0.570447,-1.3779589,-0.8784832,-2.2564418,-0.4994491,-1.805954,0.2376869,-1.5682672,-2.043541,11.6139336,4.9697142,16.5837498,6.6441736,,
69.3859711,99.855957,-1.408181,-0.7970024,-2.2051833,-0.6111971,-1.4166018,-0.8806943,-2.2972958,-0.5358807,-1.8696597,0.2605389,-1.6091206,-2.1300986,11.5752602,4.9457097,16.5210724,6.6295037,,
69.2698669,99.8549881,-1.4577628,-0.7939674,-2.2517302,-0.663814,-1.4510703,-0.8838587,-2.334929,-0.5671847,-1.9299948,0.2825039,-1.6474909,-2.2123985,11.4989004,4.9412546,16.4402561,6.5575995,,
69.1780167,99.8542328,-1.5049464,-0.7904621,-2.2954085,-0.7145025,-1.4824823,-0.8857638,-2.3682461,-0.5966915,-1.981967,0.3016646,-1.6803024,-2.2835317,11.4173136,4.9410181,16.3584328,6.4762483,,
69.1573792,99.8552094,-1.5178721,-0.7870929,-2.3049648,-0.7307975,-1.5010874,-0.8735174,-2.3746047,-0.6275432,-1.9967496,0.3070731,-1.6896769,-2.3037229,11.4106455,4.9221182,16.3328629,6.4884787,,
69.2372665,99.8570786,-1.524528,-0.7699503,-2.2944779,-0.7545961,-1.4990176,-0.8578299,-2.3568473,-0.6411606,-1.9891773,0.3041027,-1.6850746,-2.29318,11.3900938,4.9308362,16.3210335,6.4592104,,
69.3351898,99.8596039,-1.5315075,-0.7501214,-2.2816291,-0.7814046,-1.4972099,-0.8368776,-2.3340876,-0.6603053,-1.9782059,0.3000551,-1.6781505,-2.2781608,11.3699703,4.9371371,16.307209,6.432786,,
69.4277267,99.8621368,-1.5283619,-0.7321607,-2.2605224,-0.7962196,-1.4951588,-0.8139009,-2.3090599,-0.6812311,-1.9630125,0.2942446,-1.6687679,-2.2571571,11.3616123,4.9368343,16.2985497,6.4247313,,
69.5070038,99.8644562,-1.5185144,-0.7146775,-2.233192,-0.8038555,-1.4880817,-0.7934707,-2.2815521,-0.6945841,-1.9485868,0.2885568,-1.66003,-2.2370436,11.3770714,4.9356446,16.3128166,6.4413795,,
69.6055145,99.8665237,-1.5237862,-0.6934442,-2.2172303,-0.8303603,-1.4865236,-0.7736374,-2.2601612,-0.7128595,-1.9380175,0.2844101,-1.6536074,-2.2223275,11.3477249,4.9464812,16.2943077,6.4011965,,
69.6769409,99.8681183,-1.5312226,-0.6762063,-2.2074292,-0.8550346,-1.4861722,-0.7585534,-2.2447257,-0.7275923,-1.9333032,0.2826138,-1.6506897,-2.2158172,11.3264866,4.9526286,16.2792168,6.3738112,,
69.6788864,99.8691177,-1.5457206,-0.6675118,-2.2132325,-0.8782272,-1.4982508,-0.7475117,-2.2457623,-0.7507126,-1.9465468,0.287072,-1.6594747,-2.2335188,11.3070335,4.9418321,16.2489662,6.3651528,,
69.6134491,99.8690796,-1.5722722,-0.6623997,-2.2346721,-0.9098908,-1.5223285,-0.7423875,-2.2647164,-0.7799145,-1.9827563,0.300101,-1.6826553,-2.2827573,11.2775345,4.9296889,16.207325,6.3477983,,
69.5451431,99.8686905,-1.6045935,-0.6607195,-2.2653129,-0.9438921,-1.548478,-0.7411393,-2.2896173,-0.8073118,-2.0197382,0.3134308,-1.7063074,-2.3330691,11.2195454,4.9218893,16.1415367,6.2976084,,
69.500267,99.8685303,-1.6426365,-0.655773,-2.2984097,-0.9868814,-1.5748327,-0.7382935,-2.3131263,-0.8365122,-2.0547407,0.3260702,-1.7286707,-2.3807108,11.1585655,4.9096036,16.0682697,6.2489128,,
69.403244,99.8677902,-1.66448,-0.6566154,-2.3210952,-1.0078824,-1.6039073,-0.7361143,-2.3400216,-0.867766,-2.0936043,0.3401437,-1.7534605,-2.4336479,11.1283159,4.8932843,16.0216999,6.2349834,,
69.3069,99.867485,-1.6955633,-0.6581353,-2.3536985,-1.0374459,-1.6303877,-0.7357959,-2.3661838,-0.8945645,-2.1357579,0.3555893,-1.7801685,-2.4912472,11.0812817,4.8820615,15.9634447,6.1991715,,
69.2273712,99.8667831,-1.7293775,-0.6588326,-2.3882103,-1.0705631,-1.660087,-0.7360722,-2.3961592,-0.9239874,-2.1749806,0.3696939,-1.8052868,-2.5445745,11.0380268,4.8688636,15.906992,6.1691141,,
69.1075745,99.8660889,-1.7524126,-0.663882,-2.4162946,-1.0885484,-1.6931963,-0.7340209,-2.4272172,-0.9591478,-2.2179456,0.3852588,-1.8326868,-2.6031046,11.025816,4.8386483,15.8645658,6.1871204,,
69.0708008,99.8656387,-1.791641,-0.656303,-2.4479442,-1.1353558,-1.7153318,-0.7341937,-2.4495254,-0.9811104,-2.2532189,0.3978597,-1.8553588,-2.6509783,10.9491177,4.8479166,15.7971363,6.1011529,,
69.0634918,99.8659515,-1.8136774,-0.6476512,-2.4613285,-1.1660438,-1.7329267,-0.7261422,-2.4590688,-1.0067567,-2.2721703,0.4048657,-1.8673044,-2.6769359,10.9106455,4.849247,15.7599926,6.061348,,
69.0308609,99.8666077,-1.8233728,-0.6437494,-2.4671223,-1.179641,-1.7460076,-0.7175555,-2.4635632,-1.0284243,-2.2893586,0.4112833,-1.8780752,-2.700542,10.9044495,4.836978,15.7415295,6.0674229,,
69.0142822,99.8668823,-1.8354437,-0.6363561,-2.4717999,-1.199105,-1.7629807,-0.7079093,-2.47089,-1.0550436,-2.3056679,0.4172208,-1.8884472,-2.7227886,10.9062099,4.8290434,15.7353544,6.077117,,
69.0331573,99.8673096,-1.8607569,-0.6239395,-2.4846966,-1.2368349,-1.7790642,-0.6988962,-2.4779603,-1.0801401,-2.3214481,0.4227786,-1.8986695,-2.7441268,10.8583689,4.84056,15.6990299,6.0177603,,
69.0466919,99.8682098,-1.8815575,-0.6172811,-2.4988384,-1.2642937,-1.7907318,-0.6907557,-2.4814878,-1.0999486,-2.3321686,0.4266013,-1.9055675,-2.7586699,10.8076258,4.8386078,15.6463337,5.9689674,,
69.0390778,99.8684311,-1.9009113,-0.6084139,-2.5093253,-1.2925146,-1.8077047,-0.6827418,-2.4904466,-1.1249349,-2.3502584,0.4331869,-1.9170716,-2.7833455,10.7835121,4.8402338,15.6238461,5.9432287,,
68.956543,99.868454,-1.9213011,-0.6083632,-2.5296643,-1.312955,-1.8321161,-0.6777908,-2.5099065,-1.1542972,-2.3849349,0.4454798,-1.939455,-2.8303144,10.7549286,4.8306565,15.5856838,5.9242215,,
68.9223175,99.8680573,-1.944986,-0.6030039,-2.5479896,-1.3419993,-1.8513558,-0.6752374,-2.5265932,-1.1760904,-2.4101005,0.4548477,-1.9552524,-2.8648481,10.7325888,4.8243489,15.5570374,5.9081898,,
68.8930283,99.8679199,-1.9702635,-0.5974376,-2.5677011,-1.372843,-1.8757951,-0.6686826,-2.5444777,-1.2070843,-2.4348221,0.4638974,-1.9709246,-2.8986192,10.7058039,4.817481,15.5233841,5.8882737,,
68.8269196,99.8678207,-1.990469,-0.5956652,-2.5861337,-1.3948205,-1.8966475,-0.6650802,-2.561728,-1.2315391,-2.4656055,0.4749297,-1.9906757,-2.9404352,10.6757288,4.8101416,15.4859695,5.8655367,,
68.778923,99.8674622,-2.0156507,-0.5932038,-2.6088548,-1.4224639,-1.9191288,-0.6626209,-2.5817497,-1.2564796,-2.4935584,0.4851061,-2.0084524,-2.9785647,10.6506929,4.8043289,15.455121,5.846314,,
68.7331696,99.8670273,-2.0499172,-0.5861606,-2.6360779,-1.4637731,-1.9438137,-0.6601774,-2.603991,-1.283608,-2.5286572,0.4978036,-2.0308537,-3.026361,10.5949917,4.8097839,15.4048748,5.7851577,,
68.6470566,99.8663254,-2.0732851,-0.5848076,-2.6580925,-1.4884942,-1.969663,-0.6588582,-2.6285212,-1.3107762,-2.5665755,0.5114208,-2.0551546,-3.0778966,10.5716105,4.8033466,15.3750582,5.7682142,,
68.6143799,99.8658371,-2.1057591,-0.5781783,-2.6839375,-1.5275973,-1.9916757,-0.6572868,-2.6489627,-1.3343604,-2.5964944,0.5223128,-2.0741816,-3.1187072,10.5101337,4.8120909,15.3223248,5.6979918,,
68.5570602,99.8659439,-2.1203551,-0.580255,-2.7006102,-1.5401165,-2.0148759,-0.6506482,-2.665524,-1.3641989,-2.6184926,0.5306628,-2.0878294,-3.149055,10.4901867,4.7970934,15.2873812,5.6930428,,
68.5009995,99.8657761,-2.1371584,-0.5797246,-2.7168829,-1.5574503,-2.037642,-0.6453099,-2.6829519,-1.3923033,-2.6432309,0.5399235,-2.1033075,-3.1830544,10.4824314,4.776536,15.2590666,5.7058454,,
