TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
74.284111,99.9456406,1.2579746,0.2117644,1.4697388,1.0461814,1.287897,0.2354461,1.5233431,1.0524607,1.2338458,0.2294984,1.4633442,1.0044475,1.5293705,0.195347,1.7247961,1.3339201,,
74.2702408,99.945488,1.2563212,0.2078923,1.4642134,1.0484002,1.2811618,0.2328877,1.5140494,1.0482838,1.2272021,0.2277577,1.4549598,0.9995443,1.534189,0.1851385,1.7194064,1.3489473,,
74.2993774,99.9454422,1.3258631,0.2165711,1.5424341,1.1092629,1.3522383,0.2388982,1.5911367,1.1133497,1.2964967,0.2351383,1.531635,1.0614583,1.6457379,0.1943873,1.8402039,1.4512475,,
74.3051071,99.9452362,1.3625351,0.2226787,1.5852139,1.1398275,1.3877401,0.2425288,1.6302688,1.1452206,1.329716,0.2411932,1.5709093,1.0886227,1.6797426,0.2006265,1.880448,1.4790132,,
74.2968903,99.9455109,1.329186,0.2201795,1.5493655,1.1089776,1.3570937,0.2421998,1.5992936,1.1149032,1.2996022,0.2388665,1.5384686,1.0608356,1.5917895,0.2034482,1.7953163,1.3882382,,
74.3069305,99.9453888,1.3004165,0.2211916,1.5216081,1.0791962,1.3377208,0.2376284,1.5753491,1.1001019,1.2782023,0.2367135,1.5149158,1.0415889,1.5379226,0.2030418,1.7410431,1.3347778,,
74.2971802,99.9456863,1.2793752,0.2152201,1.4945953,1.0641263,1.313868,0.2389232,1.5527914,1.0749545,1.2609375,0.2341728,1.4951103,1.0268648,1.4939661,0.1881375,1.6821823,1.3057253,,
74.2934418,99.9455948,1.2531532,0.2106063,1.4637595,1.042518,1.2890899,0.2324175,1.5215075,1.0566823,1.2351443,0.2285042,1.4636484,1.0067399,1.4493759,0.1804164,1.6298708,1.2688559,,
74.300293,99.9456863,1.3007948,0.2116576,1.5124524,1.0891082,1.3350128,0.236892,1.5719049,1.0981305,1.2821872,0.2334208,1.5156081,1.0488665,1.5236838,0.1865582,1.7103208,1.3370225,,
74.3218994,99.9456863,1.3648928,0.2197037,1.5845968,1.14516,1.3955296,0.2469244,1.6424539,1.1486142,1.3466831,0.2420695,1.5887526,1.1047136,1.6067148,0.1939761,1.8007696,1.4126356,,
74.3125992,99.9455032,1.3555502,0.2195717,1.5751219,1.1359494,1.3824786,0.2455359,1.6280143,1.1369518,1.3328252,0.2410312,1.5738564,1.0918939,1.580238,0.1829767,1.7632935,1.397158,,
74.3136597,99.9456177,1.3239605,0.2183913,1.5423517,1.1055403,1.3580787,0.2432782,1.6013569,1.1148099,1.3082981,0.2392639,1.547562,1.0691341,1.514254,0.1801384,1.694471,1.3340122,,
74.3132095,99.9457626,1.3087213,0.2165117,1.5252328,1.0921806,1.3443714,0.2408227,1.585194,1.1035581,1.2923346,0.2355732,1.5279076,1.0568613,1.4830484,0.1808085,1.663936,1.3021368,,
74.2996674,99.945694,1.2873064,0.2096271,1.4969333,1.0776504,1.3219793,0.2343961,1.5563753,1.0875927,1.2690941,0.2304844,1.4995786,1.0387098,1.4475445,0.1722131,1.6198362,1.275228,,
74.3208237,99.9455109,1.316888,0.2093637,1.5262516,1.1074953,1.3542,0.23282,1.5870199,1.1213893,1.3037928,0.230882,1.5346749,1.0730108,1.4896678,0.1788791,1.6686255,1.3106854,,
74.3722382,99.945694,1.3920629,0.2235766,1.6156394,1.1684572,1.4371617,0.2412992,1.6784608,1.1958716,1.3828204,0.2389002,1.6217203,1.1440202,1.5933464,0.2058261,1.799251,1.3874171,,
74.3725662,99.9460068,1.3871503,0.2230027,1.610153,1.1641185,1.436298,0.2428927,1.6791906,1.1934144,1.3813776,0.2395108,1.6208885,1.1419669,1.5508145,0.2012627,1.7521559,1.3494487,,
74.3611526,99.946106,1.3522704,0.2173416,1.569612,1.1348996,1.4018918,0.2400689,1.6419609,1.1618321,1.3499453,0.2356547,1.5856001,1.1143906,1.4727396,0.1959684,1.6687868,1.276668,,
74.3460541,99.9461212,1.3343698,0.2106178,1.5449876,1.123723,1.3818511,0.2348412,1.6166923,1.1470191,1.3285061,0.2307183,1.5592244,1.0978878,1.4586191,0.1824297,1.6411272,1.2760857,,
74.3477097,99.9459152,1.305421,0.2036388,1.5090598,1.1017532,1.3520801,0.2260857,1.5781659,1.126004,1.300709,0.2217657,1.5224748,1.0790433,1.4232169,0.1752622,1.5985578,1.2478513,,
