t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e,SV e,CO e,CI e
1.0,22.56,0.645,14.549,598,448.7573937,436.8850795,0.97,109.7,23.7,28.9,29.7,7.25,2.1,17.01,3.67,15.67,4.91,20.7,0.06,122,26,112,35,0,,0,REST,18.0,52,651,764,3212,133.8,2.23,0,51.9,0,290,2922,0,9.0,91.0,0.97,0,1.16,1.5,2.66,0.44,0.18,1.163,0,0,0,,21,88.9,0,0.56,37.18,,,
5.0,20.2,0.559,11.293,523,375.4367671,350.1810075,0.93,93.6,21.2,26.3,28.2,6.07,1.7,16.74,3.79,15.7,4.87,20.69,0.06,120,27,113,35,0,,0,REST,18.0,52,651,764,2663,111.0,1.85,0,43.0,0,611,2052,0,23.0,77.0,0.93,0,1.21,1.76,2.97,0.41,0.14,1.053,4,0,0,,18,91.4,0,0.46,36.92,,,
8.0,15.71,0.663,10.414,634,346.4695902,322.7749365,0.93,111.0,25.2,26.9,28.9,5.6,1.6,16.74,3.8,15.37,5.08,20.69,0.07,120,27,110,36,0,,0,REST,18.0,52,651,764,2457,102.4,1.71,0,39.7,0,573,1884,0,23.3,76.7,0.93,0,1.68,2.14,3.82,0.44,0.18,1.018,3,0,0,,17,92.1,0,0.39,38.28,,,
12.0,14.02,0.977,13.696,931,473.5559999,455.5475422,0.96,161.9,39.7,26.8,27.9,7.65,2.2,16.57,4.06,15.43,5.13,20.7,0.06,119,29,111,37,0,,0,REST,18.0,52,651,764,3381,140.9,2.35,0,54.6,0,439,2942,0,13.0,87.0,0.96,0,1.58,2.7,4.28,0.37,0.17,1.137,4,0,0,,23,89.6,0,0.62,38.6,,,
16.0,16.0,0.502,8.032,511,253.8996847,241.911402,0.95,84.9,18.5,27.2,28.6,4.1,1.2,16.91,3.69,15.87,4.71,20.68,0.06,121,26,114,34,0,,0,REST,18.0,52,651,764,1809,75.4,1.26,0,29.2,0,292,1518,0,16.1,83.9,0.95,0,1.38,2.37,3.75,0.37,0.12,0.905,4,0,0,,12,93.9,0,0.36,35.89,,,
20.0,15.23,0.589,8.97,559,301.9118877,287.2642245,0.95,98.3,23.0,26.2,27.5,4.88,1.4,16.69,3.9,15.52,4.98,20.7,0.05,120,28,111,36,0,,0,REST,18.0,53,651,764,2151,89.6,1.49,0,34.7,0,356,1794,0,16.6,83.4,0.95,0,1.38,2.56,3.94,0.35,0.14,0.953,4,0,0,,14,93.2,0,0.43,37.63,,,
24.0,14.85,0.617,9.163,560,301.858876,282.1533775,0.93,103.4,23.3,26.9,28.8,4.88,1.4,16.76,3.78,15.43,5.01,20.67,0.07,120,27,111,36,0,,0,REST,18.0,53,651,764,2142,89.3,1.49,1,34.6,0,477,1665,0,22.3,77.7,0.93,0,1.51,2.53,4.04,0.37,0.17,0.962,4,0,0,,14,93.0,0,0.41,37.83,,,
27.0,17.8,0.661,11.769,589,399.5033832,374.7728656,0.94,109.9,25.8,26.3,28.1,6.45,1.8,16.63,3.9,15.22,5.15,20.66,0.07,119,28,109,37,0,,0,REST,18.0,53,651,764,2837,118.2,1.97,1,45.8,0,599,2238,0,21.1,78.9,0.94,0,1.3,2.07,3.37,0.39,0.17,1.071,3,0,0,,19,91.1,0,0.51,38.73,,,
31.0,15.46,0.723,11.18,729,393.5584724,370.4974241,0.94,119.4,29.2,25.7,27.3,6.36,1.8,16.51,4.04,15.36,5.11,20.7,0.05,118,29,110,37,0,,0,REST,18.0,53,651,764,2797,116.5,1.94,1,45.2,0,559,2238,0,20.0,80.0,0.94,0,1.44,2.44,3.88,0.37,0.15,1.048,4,0,0,,19,91.5,0,0.5,38.47,,,
37.0,10.71,1.012,10.843,937,374.7279038,361.3462449,0.96,167.8,41.1,26.9,27.9,6.05,1.7,16.58,4.06,15.32,5.19,20.71,0.05,119,29,110,37,0,,0,REST,18.0,53,651,764,2677,111.5,1.86,1,43.2,0,326,2351,0,12.2,87.8,0.96,0,1.75,3.85,5.6,0.31,0.18,1.035,6,0,0,,18,91.8,0,0.58,38.99,,,
