O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
4.2032681,-3.0162148,1.1870594,3.7765584,-3.7338047,0.0428541,4.6283326,-3.196718,1.431514,15.8043213,0.7874706,16.5915051,10.362483,-2.5739038,7.7893424,9.7388277,-2.05562,7.682601,75.3363342,99.8294525,,
4.2351632,-3.002454,1.2327161,3.8110161,-3.7148964,0.0962195,4.6736927,-3.1753488,1.498244,15.906641,0.7947372,16.7010918,10.4448853,-2.5639758,7.8816729,9.8212147,-2.0413811,7.7792258,75.3358841,99.8291855,,
4.3080592,-2.9098275,1.3982379,3.9289775,-3.6552112,0.2738661,4.7624512,-3.119451,1.6428999,15.9321461,0.8907471,16.8226051,10.5623798,-2.5447063,8.0184355,9.8712111,-2.0214562,7.8491478,75.4373169,99.8313293,,
4.306653,-2.8531799,1.4534789,3.8871472,-3.5698438,0.3174035,4.7267685,-3.0644565,1.662212,15.7686176,0.8112617,16.5795918,10.3445377,-2.528296,7.8170042,9.6911306,-2.0459857,7.6445379,75.3412247,99.8345184,,
4.2761483,-2.7864745,1.4896793,3.8346953,-3.5012851,0.3335103,4.6672287,-3.0143952,1.6527336,15.5303011,0.7565914,16.2866096,10.0827503,-2.5449872,7.5385232,9.4349995,-2.0803881,7.3540053,75.28236390000001,99.835907,,
4.220026,-2.727211,1.4928209,3.7709088,-3.4473357,0.3236729,4.5951653,-2.9756007,1.6194643,15.2215366,0.7305657,15.9518175,9.8244076,-2.5744681,7.2506995,9.2056828,-2.1241746,7.0809011,75.2527313,99.8371429,,
4.106236,-2.7119141,1.3943279,3.656199,-3.4285216,0.2277773,4.4891977,-2.9638751,1.5252223,15.0033112,0.6678562,15.6708832,9.5813894,-2.6058137,6.9763327,8.9998112,-2.1614368,6.8377676,75.2185745,99.8374786,,
4.0411525,-2.7131684,1.3279904,3.5834243,-3.4296136,0.1539108,4.4243383,-2.9635704,1.460668,14.9326553,0.6346607,15.5670319,9.4820423,-2.6361766,6.8466234,8.9087629,-2.1786647,6.7294912,75.1882248,99.836319,,
3.9958236,-2.7063613,1.2894683,3.543885,-3.4251168,0.1188681,4.400558,-2.9610572,1.4394001,14.8635511,0.6370649,15.5003338,9.4366016,-2.644855,6.7925048,8.8711767,-2.1873603,6.6832099,75.2137604,99.8355865,,
3.9139953,-2.7141478,1.1998538,3.4715233,-3.4325039,0.0391194,4.3226948,-2.9626479,1.3599466,14.7112522,0.6015912,15.312561,9.335741,-2.678705,6.6577921,8.7794209,-2.2075799,6.5712342,75.1728363,99.8358231,,
3.7944646,-2.7334313,1.0610394,3.3552647,-3.4490368,-0.093672,4.2219472,-2.9774916,1.2443546,14.5226717,0.5634463,15.0858355,9.1609707,-2.7006114,6.4611154,8.6500759,-2.2290101,6.4204597,75.1556931,99.8348923,,
3.7470157,-2.7152398,1.0317827,3.2980762,-3.4270928,-0.128916,4.1642733,-2.9591172,1.2050548,14.423399,0.5355745,14.9586926,9.0555143,-2.7174883,6.3387833,8.5403528,-2.2401571,6.2995896,75.1043015,99.8350677,,
3.7452621,-2.6370411,1.1082275,3.319437,-3.3706384,-0.0511013,4.1559944,-2.906467,1.2494272,14.2679062,0.5762093,14.8438358,8.982688,-2.722755,6.2606878,8.4279003,-2.2513261,6.1759686,75.1138382,99.8368988,,
3.793349,-2.551475,1.2418797,3.3436821,-3.2822812,0.0615011,4.1516666,-2.8445313,1.3070346,14.1574049,0.5325565,14.6896801,8.8288288,-2.7177174,6.111866,8.2602091,-2.2822516,5.9773507,75.055748,99.8405609,,
3.8414483,-2.4689395,1.3725142,3.3494899,-3.1996984,0.1498917,4.1473947,-2.7859445,1.3613496,14.1374035,0.5291908,14.666316,8.7216463,-2.7062438,6.0161567,8.1443672,-2.3097854,5.8339758,75.00103,99.8414993,,
3.8342338,-2.4250937,1.4091456,3.3197258,-3.1576385,0.1621873,4.1038976,-2.7538233,1.3499731,14.0483418,0.4964639,14.5445271,8.5994253,-2.7251258,5.8750534,8.0162144,-2.3342791,5.6813283,74.9409943,99.842041,,
3.7674909,-2.4026599,1.3648365,3.2648664,-3.145087,0.1198792,4.0440435,-2.7448301,1.2991122,13.9086027,0.4915573,14.3998795,8.4853344,-2.7493763,5.736712,7.895083,-2.3573339,5.5371428,74.9508286,99.8424835,,
3.7124538,-2.4103503,1.3021092,3.2040596,-3.1506071,0.0535525,3.9740818,-2.7416368,1.2323439,13.8403397,0.4566716,14.2967319,8.4038334,-2.7779112,5.6266751,7.8133745,-2.3731937,5.4395738,74.873703,99.84198,,
3.6229033,-2.4056683,1.2172409,3.1316414,-3.1511414,-0.0193999,3.9145007,-2.7446942,1.169705,13.6985884,0.4552347,14.1535444,8.3106813,-2.7921689,5.5192637,7.7293444,-2.3853617,5.3433757,74.9081573,99.8418274,,
