t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
6.0,6.47,1.788,11.56,1461,330.3506292,322.215791,0.98,309.5,61.9,33.6,34.5,4.99,1.4,17.31,3.46,15.83,4.64,20.79,0.05,122.0,24.0,112.0,33.0,0,,0,NONE,18.1,47,637,752,2366.0,98.6,1.64,0,35.7,0.0,199.0,2167.0,0.0,8.4,91.6,0.98,0,3.26,6.02,9.28,0.35,0.26,1.063,0,0,0,,12.0,93.9,0,0.55,34.94
13.0,8.75,2.091,18.289,1608,579.8362399,551.1884451,0.95,354.4,78.4,30.5,32.1,8.76,2.5,16.95,3.75,15.98,4.54,20.79,0.06,119.0,26.0,113.0,32.0,0,,0,NONE,18.1,47,637,752,4129.0,172.1,2.87,0,62.4,0.0,696.0,3433.0,0.0,16.9,83.1,0.95,0,3.19,3.67,6.86,0.47,0.2,1.262,7,0,0,,20.0,90.4,0,0.66,34.3
19.0,9.95,2.58,25.672,2364,659.2366612,689.7377924,1.05,454.5,86.4,37.9,36.2,9.96,2.8,17.62,3.35,16.81,4.06,20.79,0.06,124.0,24.0,119.0,29.0,0,,0,NONE,18.1,47,637,752,4795.0,199.8,3.33,0,72.4,0.0,0.0,4795.0,0.0,0.0,100.0,1.05,0,2.93,3.1,6.03,0.49,0.22,1.409,6,0,0,,23.0,86.5,0,0.88,31.26
25.0,10.07,2.327,23.426,2438,507.120547,587.0096416,1.16,420.1,73.0,44.8,38.7,7.66,2.2,18.05,3.14,17.19,3.94,20.79,0.07,127.0,22.0,121.0,28.0,0,,0,NONE,18.1,47,637,752,3778.0,157.4,2.62,1,57.1,0.0,0.0,3778.0,0.0,0.0,100.0,1.16,0,2.7,3.26,5.96,0.45,0.24,1.37,6,0,0,,18.0,87.7,0,0.86,30.49
31.0,9.74,1.737,16.919,1723,367.6496191,432.3457623,1.18,313.4,55.2,44.2,37.6,5.55,1.6,18.04,3.18,17.27,3.89,20.8,0.05,127.0,22.0,122.0,27.0,0,,0,NONE,18.1,47,637,752,2750.0,114.6,1.91,1,41.5,0.0,0.0,2750.0,0.0,0.0,100.0,1.18,0,3.05,3.11,6.16,0.5,0.22,1.228,6,0,0,,13.0,91.1,0,0.57,30.18
37.0,9.09,1.795,16.318,1626,373.536378,428.554738,1.15,321.7,58.6,42.0,36.6,5.64,1.6,17.92,3.26,17.11,4.03,20.81,0.05,126.0,23.0,121.0,28.0,0,,0,NONE,18.1,47,637,752,2777.0,115.7,1.93,1,41.9,0.0,0.0,2777.0,0.0,0.0,100.0,1.15,0,3.31,3.29,6.6,0.5,0.22,1.213,6,0,0,,13.0,91.4,0,0.54,31.07
45.0,9.57,1.496,14.316,1644,315.7004098,363.9379245,1.15,269.5,47.3,43.2,37.5,4.77,1.4,18.01,3.16,17.13,3.98,20.8,0.05,127.0,22.0,121.0,28.0,0,,0,NONE,18.1,47,637,752,2349.0,97.9,1.63,1,35.5,0.0,0.0,2349.0,0.0,0.0,100.0,1.15,0,2.83,3.44,6.27,0.45,0.23,1.156,8,0,0,,11.0,92.5,0,0.53,30.75
51.0,9.29,1.247,11.582,1352,274.4830346,297.2606913,1.08,222.7,39.8,39.8,36.8,4.15,1.2,17.86,3.19,17.09,3.95,20.81,0.05,126.0,23.0,120.0,28.0,0,,0,NONE,18.1,47,637,752,2012.0,83.8,1.4,2,30.4,0.0,0.0,2012.0,0.0,0.0,100.0,1.08,0,3.85,2.61,6.46,0.6,0.21,1.064,6,0,0,,10.0,93.9,0,0.32,30.56
56.0,9.77,1.535,15.0,1272,379.534331,404.2052802,1.07,271.4,51.4,37.7,35.4,5.73,1.6,17.68,3.35,16.9,4.08,20.82,0.05,125.0,24.0,119.0,29.0,0,,0,NONE,18.1,47,637,752,2772.0,115.5,1.92,2,41.9,0.0,0.0,2772.0,0.0,0.0,100.0,1.07,0,2.94,3.2,6.14,0.48,0.2,1.176,5,0,0,,13.0,92.1,0,0.52,31.38
63.0,9.85,1.504,14.818,1491,360.378267,391.5549479,1.09,267.4,49.4,39.2,36.1,5.44,1.6,17.78,3.28,16.88,4.08,20.81,0.05,125.0,23.0,119.0,29.0,0,,0,NONE,18.1,47,637,752,2644.0,110.2,1.84,2,39.9,0.0,0.0,2644.0,0.0,0.0,100.0,1.09,0,2.95,3.14,6.09,0.48,0.22,1.171,7,0,0,,13.0,92.2,0,0.51,31.38
68.0,10.31,1.457,15.021,1369,375.2537138,397.2797871,1.06,258.1,47.9,38.1,36.0,5.67,1.6,17.71,3.29,16.76,4.13,20.81,0.05,125.0,23.0,118.0,29.0,0,,0,NONE,18.1,47,637,752,2737.0,114.0,1.9,2,41.3,0.0,0.0,2737.0,0.0,0.0,100.0,1.06,0,2.96,2.86,5.82,0.51,0.22,1.177,5,0,0,,13.0,92.1,0,0.49,31.7
74.0,11.09,1.414,15.682,1360,388.7376262,408.1812914,1.05,250.9,45.9,38.3,36.5,5.87,1.7,17.74,3.25,16.78,4.05,20.81,0.06,125.0,23.0,118.0,29.0,0,,0,NONE,18.1,47,637,752,2830.0,117.9,1.97,2,42.7,0.0,0.0,2830.0,0.0,0.0,100.0,1.05,0,2.58,2.83,5.41,0.48,0.22,1.195,6,0,0,,14.0,91.8,0,0.55,31.19
