O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI%,TSI%,TSI Fit Factor,TSI%,TSI%,Event,Event Time
5.2147441,-2.0019925,3.2127514,4.2733464,-1.8424982,2.4307997,4.4752169,-1.5303843,2.9447327,14.8570232,-1.5453142,13.311429,8.7103786,-2.135679,6.5751429,7.7010894,-1.7914442,5.9099207,69.315239,69.315239,69.315239,99.6385956,69.315239,69.315239,,
5.0947967,-2.0014315,3.0933654,4.1964412,-1.8633455,2.3330474,4.3861175,-1.5409786,2.8450384,14.7290859,-1.5069091,13.2218962,8.6774244,-2.1651711,6.5126963,7.6290197,-1.8015273,5.8277674,69.3594666,69.3594666,69.3594666,99.6394653,69.3594666,69.3594666,,
5.0207968,-2.0145054,3.0062909,4.1198282,-1.8785318,2.2412488,4.3036604,-1.5527987,2.7507615,14.7034092,-1.5305071,13.1726208,8.6193199,-2.1819344,6.4378271,7.5596757,-1.8135455,5.7464051,69.316925,69.316925,69.316925,99.6386871,69.316925,69.316925,,
4.9490385,-2.0443099,2.9047284,4.0163889,-1.8810699,2.1352718,4.223094,-1.5632199,2.6597743,14.7008266,-1.5956783,13.1048641,8.5116482,-2.1743116,6.337779,7.4895387,-1.8223718,5.6674418,69.2274323,69.2274323,69.2274323,99.6372681,69.2274323,69.2274323,,
4.8800645,-2.0621183,2.817946,3.9352791,-1.8911501,2.0440819,4.1445532,-1.5715878,2.572865,14.6423368,-1.60932,13.0327358,8.4485798,-2.1883771,6.2606444,7.4233742,-1.8331213,5.5905285,69.161171,69.161171,69.161171,99.6361618,69.161171,69.161171,,
4.8048987,-2.0724835,2.7324154,3.8653512,-1.9049171,1.9603869,4.0667577,-1.5812179,2.4854398,14.604291,-1.6337922,12.9702177,8.3913975,-2.2061076,6.1857309,7.3552413,-1.8445202,5.5109963,69.1287766,69.1287766,69.1287766,99.6361084,69.1287766,69.1287766,,
4.7452803,-2.0825961,2.6626837,3.7960858,-1.9137751,1.8822639,3.9946296,-1.5887659,2.4057636,14.6028843,-1.6508678,12.9517345,8.3422899,-2.2186604,6.1240702,7.2943749,-1.8552958,5.4393539,69.0775299,69.0775299,69.0775299,99.6350784,69.0775299,69.0775299,,
4.6521788,-2.0887361,2.5634429,3.7235069,-1.9241623,1.7992983,3.9240241,-1.5975854,2.326339,14.4914875,-1.6515143,12.8396893,8.2694988,-2.2253349,6.0446043,7.2272177,-1.862251,5.3652434,69.0943985,69.0943985,69.0943985,99.635704,69.0943985,69.0943985,,
4.5736399,-2.0912566,2.4823833,3.6590855,-1.9304476,1.7285916,3.8606219,-1.6055019,2.2550201,14.3960142,-1.6525323,12.7431974,8.2166681,-2.232235,5.9848742,7.1681986,-1.8717568,5.2967172,69.1094666,69.1094666,69.1094666,99.6363678,69.1094666,69.1094666,,
4.5063539,-2.1022582,2.4040961,3.5839813,-1.9321693,1.6517658,3.7932777,-1.6112477,2.1819301,14.347661,-1.6654198,12.6819592,8.1392403,-2.2294333,5.9102478,7.1168799,-1.8831831,5.2339735,69.0708618,69.0708618,69.0708618,99.6361389,69.0708618,69.0708618,,
4.4150267,-2.1021392,2.312887,3.519067,-1.9403187,1.5787023,3.7276187,-1.6185402,2.1089787,14.213254,-1.6432571,12.5697145,8.0897427,-2.2410533,5.8491292,7.0550475,-1.8901561,5.1651678,69.1055527,69.1055527,69.1055527,99.6372528,69.1055527,69.1055527,,
4.3490529,-2.1099887,2.2390645,3.4573197,-1.9528412,1.5044328,3.6603959,-1.6270911,2.0332046,14.1713533,-1.6464412,12.5246296,8.0486183,-2.2601008,5.7889566,6.9963102,-1.8996837,5.0969033,69.0826111,69.0826111,69.0826111,99.6367569,69.0826111,69.0826111,,
4.2720823,-2.1264434,2.1456389,3.3730195,-1.9634953,1.4094784,3.5840478,-1.6376173,1.9463304,14.1532698,-1.6693771,12.4836121,7.9829574,-2.2646246,5.7187715,6.9380083,-1.9060462,5.0322375,69.0431366,69.0431366,69.0431366,99.6355057,69.0431366,69.0431366,,
4.2063437,-2.156476,2.0498676,3.2864017,-1.9765141,1.3098423,3.5095012,-1.6483052,1.8610961,14.1768494,-1.723039,12.4535275,7.9074988,-2.2666705,5.6412668,6.8776107,-1.9092476,4.9686399,68.9560165,68.9560165,68.9560165,99.6336212,68.9560165,68.9560165,,
4.1365414,-2.1725488,1.9639925,3.199903,-1.9810972,1.2187607,3.4392593,-1.6554892,1.7836707,14.1552305,-1.7293047,12.425643,7.8448067,-2.2633634,5.5818815,6.8420115,-1.9175072,4.9247804,68.9072876,68.9072876,68.9072876,99.6316757,68.9072876,68.9072876,,
4.0474644,-2.174603,1.8728613,3.1352248,-1.9957199,1.1394601,3.3719311,-1.6630777,1.7087536,14.0965481,-1.7229679,12.3732967,7.8131204,-2.2791476,5.5344114,6.7933683,-1.9194477,4.874197,68.9307861,68.9307861,68.9307861,99.6314011,68.9307861,68.9307861,,
3.9836452,-2.1905828,1.793062,3.064785,-2.0027022,1.0620384,3.3031306,-1.6690668,1.6339642,14.0813599,-1.7348824,12.3461933,7.7696342,-2.2847533,5.4853201,6.7410536,-1.921407,4.8199224,68.8719254,68.8719254,68.8719254,99.6312256,68.8719254,68.8719254,,
3.8981202,-2.1939917,1.7041285,2.9948049,-2.007772,0.986989,3.2425931,-1.6769215,1.5655714,14.0119553,-1.7278814,12.2837887,7.7223535,-2.2847226,5.4380708,6.7030983,-1.9296801,4.773694,68.900856,68.900856,68.900856,99.631546,68.900856,68.900856,,
3.8103213,-2.1874092,1.6229124,2.9414303,-2.0182061,0.9231796,3.1840248,-1.6844851,1.4994398,13.9064922,-1.6944078,12.2117996,7.6853151,-2.290107,5.3956456,6.6618757,-1.938587,4.7235665,68.9616318,68.9616318,68.9616318,99.6325607,68.9616318,68.9616318,,
3.7501347,-2.1921499,1.5579846,2.8804965,-2.0257206,0.8547317,3.1240134,-1.6902781,1.4336356,13.8568192,-1.6859106,12.1706257,7.6457458,-2.2965398,5.3496442,6.6164961,-1.9449775,4.6717949,68.9425735,68.9425735,68.9425735,99.631485,68.9425735,68.9425735,,
3.7056746,-2.2097616,1.495913,2.8184202,-2.031321,0.7870549,3.0664618,-1.6950839,1.3712778,13.8910418,-1.7248325,12.165926,7.5925951,-2.2996705,5.2933621,6.5694337,-1.948842,4.6208682,68.8681183,68.8681183,68.8681183,99.6303864,68.8681183,68.8681183,,
3.6077342,-2.1999919,1.4077419,2.7686641,-2.0445385,0.7240816,3.0044951,-1.7001139,1.304281,13.7399445,-1.6734177,12.0662441,7.5841942,-2.3231549,5.2614775,6.5148916,-1.9489605,4.5662088,68.9373703,68.9373703,68.9373703,99.6320038,68.9373703,68.9373703,,
3.5509963,-2.209188,1.3418082,2.7026124,-2.050288,0.6522807,2.9416156,-1.7064116,1.2351041,13.7238665,-1.6838882,12.0396957,7.5339699,-2.3281076,5.2062998,6.4663405,-1.9541066,4.5125113,68.8976364,68.8976364,68.8976364,99.6309204,68.8976364,68.8976364,,
3.5079639,-2.2283421,1.2796221,2.6404243,-2.0572982,0.5830826,2.886399,-1.7130547,1.1732444,13.7354603,-1.7198919,12.0152864,7.4802718,-2.3254962,5.1552124,6.4252768,-1.9592552,4.4662986,68.827774,68.827774,68.827774,99.6295013,68.827774,68.827774,,
3.4378548,-2.2256083,1.2122468,2.5910723,-2.0667048,0.5243242,2.8268659,-1.7165896,1.1101764,13.6656265,-1.6930106,11.972332,7.4525666,-2.3372319,5.1157713,6.3851166,-1.9656569,4.4197359,68.8362427,68.8362427,68.8362427,99.6299438,68.8362427,68.8362427,,
3.3833854,-2.2363398,1.1470454,2.5372167,-2.0730898,0.4640834,2.7712507,-1.7230616,1.0480894,13.6584883,-1.7165912,11.9416122,7.4119277,-2.3417993,5.0705667,6.3383837,-1.9714428,4.367218,68.8039932,68.8039932,68.8039932,99.6304779,68.8039932,68.8039932,,
3.3210742,-2.2421694,1.0789046,2.4700735,-2.0759082,0.3941221,2.7147415,-1.7277209,0.986921,13.5993099,-1.7242454,11.8747816,7.3546038,-2.3432202,5.0118198,6.2871137,-1.9741129,4.3132777,68.7883911,68.7883911,68.7883911,99.6291733,68.7883911,68.7883911,,
3.2701085,-2.2570548,1.0130537,2.4082284,-2.0802667,0.3279189,2.6632152,-1.7365929,0.9265224,13.5790024,-1.7473387,11.8313808,7.2986031,-2.3417361,4.957303,6.2480059,-1.9836605,4.2646227,68.7562943,68.7562943,68.7562943,99.6286774,68.7562943,68.7562943,,
3.2004571,-2.2591109,0.941346,2.3524699,-2.0869765,0.2654507,2.6023195,-1.7403357,0.8618836,13.508997,-1.7389545,11.7697582,7.2517753,-2.3465743,4.9056377,6.2002401,-1.989481,4.2110357,68.7498016,68.7498016,68.7498016,99.6292572,68.7498016,68.7498016,,
3.1382668,-2.2669823,0.8712846,2.2960656,-2.0932965,0.2027264,2.54684,-1.7464054,0.8003346,13.469017,-1.748203,11.7205296,7.2213783,-2.356504,4.8653116,6.1578531,-1.9959034,4.1622267,68.7355728,68.7355728,68.7355728,99.6295776,68.7355728,68.7355728,,
3.0857468,-2.2759385,0.8098081,2.2363882,-2.0960891,0.1402566,2.4914165,-1.7523212,0.7389951,13.4457293,-1.766872,11.6785746,7.1677065,-2.3558993,4.8122439,6.1125846,-1.9998353,4.1130266,68.7032547,68.7032547,68.7032547,99.6293335,68.7032547,68.7032547,,
3.0250974,-2.2734017,0.7516956,2.1884499,-2.1107256,0.0776821,2.4291208,-1.7549989,0.6740218,13.3986025,-1.7429279,11.6553898,7.1506081,-2.3758299,4.7752147,6.0665617,-2.0043995,4.0624399,68.6882324,68.6882324,68.6882324,99.6279449,68.6882324,68.6882324,,
2.9534969,-2.2729747,0.680522,2.1302967,-2.1157236,0.0145309,2.372745,-1.7627054,0.6099395,13.3291368,-1.7238181,11.605032,7.1143198,-2.3840833,4.7306719,6.020287,-2.0121057,4.0084577,68.7134552,68.7134552,68.7134552,99.628418,68.7134552,68.7134552,,
2.8997304,-2.2844574,0.6152734,2.0782342,-2.1191216,-0.0409293,2.322226,-1.7684317,0.5536946,13.2815571,-1.7444099,11.5368643,7.0720572,-2.3858848,4.6866088,5.974822,-2.0173132,3.9577858,68.6856689,68.6856689,68.6856689,99.6295166,68.6856689,68.6856689,,
2.8073299,-2.2822766,0.5250536,2.0119908,-2.1210604,-0.109111,2.2658401,-1.7737452,0.4919949,13.1558046,-1.7328634,11.4226561,7.0119452,-2.3827085,4.629673,5.9294038,-2.0225203,3.907161,68.7393646,68.7393646,68.7393646,99.6306229,68.7393646,68.7393646,,
2.7749953,-2.2962461,0.4787492,1.9642502,-2.1293535,-0.165145,2.2094798,-1.7769349,0.4324451,13.1633654,-1.7552801,11.4078007,6.9732485,-2.3920405,4.5816431,5.88481,-2.0270941,3.8579926,68.6519318,68.6519318,68.6519318,99.629776,68.6519318,68.6519318,,
2.7041616,-2.2875588,0.4166029,1.9146286,-2.1295669,-0.21498,2.161015,-1.7823093,0.3786054,13.0773973,-1.7267958,11.350317,6.9394774,-2.3896608,4.550252,5.8460174,-2.0329118,3.8133826,68.7050629,68.7050629,68.7050629,99.6310196,68.7050629,68.7050629,,
2.6475775,-2.2996235,0.3479541,1.8565859,-2.1366963,-0.2801514,2.108933,-1.7880423,0.3207903,13.0489759,-1.7489531,11.2997408,6.8870902,-2.3928969,4.4946284,5.8072524,-2.0387242,3.7688053,68.6770172,68.6770172,68.6770172,99.6303864,68.6770172,68.6770172,,
2.584796,-2.2993548,0.2854413,1.8063971,-2.1427395,-0.3363835,2.0533745,-1.7898834,0.2633912,12.9852314,-1.7417368,11.2432117,6.8588243,-2.4056249,4.4536352,5.7546129,-2.0402396,3.7146504,68.6700363,68.6700363,68.6700363,99.6305084,68.6700363,68.6700363,,
2.5259252,-2.3040526,0.2218729,1.7537739,-2.1450355,-0.3913028,2.0006506,-1.7948322,0.2057185,12.9241581,-1.7496656,11.1742067,6.8067503,-2.4021544,4.4050317,5.7103076,-2.046721,3.6638641,68.6604462,68.6604462,68.6604462,99.6315155,68.6604462,68.6604462,,
2.4756081,-2.3109028,0.1647052,1.7023289,-2.1496272,-0.4473393,1.9443289,-1.7989933,0.1452356,12.9106979,-1.7599275,11.150485,6.7797384,-2.4119391,4.3682346,5.6651821,-2.0519474,3.6135116,68.6222458,68.6222458,68.6222458,99.6318741,68.6222458,68.6222458,,
2.4448931,-2.321753,0.1231403,1.6504627,-2.1570683,-0.5066463,1.891504,-1.8042281,0.087176,12.9511967,-1.7781422,11.1727695,6.7499895,-2.4247212,4.3257027,5.6234722,-2.0602918,3.5634582,68.553978,68.553978,68.553978,99.6297455,68.553978,68.553978,,
2.3960614,-2.3305438,0.0655177,1.5947336,-2.1575654,-0.5628723,1.8419063,-1.807704,0.0341024,12.9360218,-1.8084185,11.1273212,6.6964583,-2.4213405,4.2755532,5.5808282,-2.0636597,3.5174458,68.5195312,68.5195312,68.5195312,99.6296082,68.5195312,68.5195312,,
2.3498168,-2.3405852,0.0092313,1.5357208,-2.1610358,-0.6253552,1.7893164,-1.8126237,-0.0234075,12.8982801,-1.8129742,11.0850229,6.6411452,-2.4199669,4.2216134,5.5350242,-2.0676696,3.4676318,68.4767227,68.4767227,68.4767227,99.6284027,68.4767227,68.4767227,,
2.271481,-2.3374543,-0.0659733,1.4824629,-2.1662574,-0.6838349,1.7357891,-1.8178828,-0.0821936,12.7991695,-1.794822,11.0040646,6.6061373,-2.4272552,4.179316,5.4840183,-2.0711007,3.4131951,68.5168457,68.5168457,68.5168457,99.6295319,68.5168457,68.5168457,,
