O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
17.7453957,-1.7868683,15.9585285,16.7339516,-2.0343356,14.6992693,14.5510349,-2.1130624,12.4382725,25.4729633,1.6728456,27.1462498,21.0520363,-0.7427322,20.3087444,17.5203304,-1.5024258,16.0182743,66.964798,99.9981079,,
17.7680626,-1.7883904,15.9796696,16.7264538,-2.028604,14.6975021,14.5336046,-2.1060293,12.4278736,25.5240555,1.6624304,27.186924,21.0632401,-0.7332574,20.329422,17.5257149,-1.4945387,16.0315437,66.8928757,99.998085,,
17.748827,-1.7823718,15.9664555,16.7064857,-2.0256834,14.6804552,14.5029402,-2.1038148,12.3994246,25.4999313,1.6875341,27.1879063,21.0699387,-0.7289271,20.3404503,17.5081406,-1.4868975,16.0216103,66.8750763,99.9981079,,
17.6993351,-1.7684209,15.9309158,16.6856422,-2.0267463,14.6585484,14.4557295,-2.1015041,12.3545275,25.4715405,1.716327,27.1883125,21.0677414,-0.7280632,20.3391171,17.4813309,-1.4815282,16.0001698,66.8818817,99.9981842,,
17.6621513,-1.7788264,15.8833237,16.6330528,-2.0285695,14.6041384,14.4000149,-2.1037984,12.2965155,25.454422,1.7078613,27.1627235,21.0364723,-0.7151245,20.3207855,17.4427471,-1.4769559,15.9661589,66.8280716,99.9981995,,
17.6783676,-1.7693176,15.9090481,16.6562691,-2.0244336,14.6314898,14.4113693,-2.0997484,12.3119221,25.5268536,1.7360827,27.2633781,21.1140385,-0.6944434,20.419035,17.5120735,-1.4633186,16.0491219,66.833992,99.9982452,,
17.8781242,-1.7299891,16.1481323,16.8120461,-1.9820906,14.829608,14.5538607,-2.0653121,12.4888487,25.8586845,1.8091339,27.6682587,21.3664188,-0.6245739,20.7412834,17.7695427,-1.4030206,16.366888,66.8047638,99.9982452,,
18.0712414,-1.6931155,16.3781261,16.9338531,-1.9641631,14.9693403,14.6311436,-2.0441651,12.5872784,26.2109032,1.9014881,28.1128349,21.5781841,-0.5597491,21.0178795,17.989666,-1.3379703,16.6520634,66.7134171,99.9980545,,
18.2616577,-1.6418688,16.6197872,17.0530891,-1.9387249,15.1140165,14.7077312,-2.0225804,12.6854496,26.5610199,2.057359,28.6188202,21.8078365,-0.4669386,21.3403397,18.2393494,-1.2542211,16.9854927,66.6493607,99.9978485,,
18.4452534,-1.5782305,16.8670216,17.129158,-1.8825493,15.2462616,14.7784405,-1.9802916,12.7984486,26.8881378,2.2186327,29.1072178,22.0146446,-0.3650567,21.6490288,18.4750175,-1.1610748,17.314312,66.5565186,99.9975128,,
18.5526371,-1.5200983,17.0325413,17.1755409,-1.8495872,15.3256073,14.8032026,-1.9428835,12.8606167,27.1254025,2.3295481,29.4553947,22.1332436,-0.2960066,21.8366814,18.6164703,-1.0946937,17.5221443,66.4847641,99.9970779,,
18.5620422,-1.4961858,17.0658569,17.1748409,-1.8364069,15.3380842,14.7919416,-1.926461,12.8657789,27.1989861,2.3669939,29.5664253,22.1632824,-0.2749848,21.8877411,18.6398163,-1.0638816,17.5763035,66.4609222,99.9969406,,
18.5480919,-1.4888108,17.0592804,17.1458626,-1.8316119,15.3139009,14.7551651,-1.9218657,12.8336,27.1837502,2.3920388,29.5762291,22.1571331,-0.2635329,21.8930397,18.632906,-1.053799,17.5794716,66.423996,99.9969025,,
18.5052128,-1.4848287,17.0203819,17.1039753,-1.837464,15.2661648,14.6990738,-1.9204553,12.7789173,27.1643162,2.4100099,29.5747681,22.1371021,-0.2582319,21.8783131,18.6049271,-1.0454347,17.5598545,66.3931808,99.9967957,,
18.4317951,-1.4784416,16.953352,17.0420532,-1.832577,15.2091293,14.6389036,-1.9222126,12.7169895,27.0962563,2.4200218,29.5167179,22.0946426,-0.2537701,21.8403168,18.5588799,-1.0431331,17.5161133,66.4042053,99.9969025,,
18.384594,-1.4809765,16.9036179,16.9957142,-1.8410219,15.1543446,14.5772095,-1.9238526,12.6536579,27.0896568,2.4138324,29.503931,22.0550842,-0.2510797,21.8034439,18.5133781,-1.0415565,17.4721851,66.3652802,99.9968643,,
18.3738461,-1.4847677,16.88908,16.9576645,-1.8414104,15.1159058,14.5232697,-1.9226776,12.600893,27.130024,2.4312901,29.561758,22.0404282,-0.2343604,21.8055096,18.5049877,-1.0293168,17.4760361,66.2859344,99.9968414,,
18.38414,-1.4541824,16.9299583,16.9207859,-1.8246988,15.0957384,14.4714308,-1.9128643,12.5588655,27.2597446,2.5057485,29.7659397,22.1002617,-0.1992453,21.9004574,18.5579777,-0.990853,17.5674896,66.2275696,99.9966278,,
18.4101562,-1.4204577,16.9896984,16.8824768,-1.8058617,15.0762711,14.4289494,-1.901614,12.5276356,27.4416008,2.5705576,30.0125999,22.1612053,-0.1535059,22.007143,18.6357441,-0.9465508,17.6895599,66.1669693,99.9962234,,
18.4530735,-1.383597,17.0694771,16.8753643,-1.7873809,15.0876369,14.3890963,-1.8814628,12.5079327,27.572382,2.655225,30.228054,22.2172756,-0.0979844,22.1187325,18.7097073,-0.8963523,17.8137245,66.0740891,99.9959335,,
18.4665108,-1.3524897,17.1140213,16.8308086,-1.7673337,15.0631256,14.3265028,-1.8579649,12.4688387,27.6899014,2.7225823,30.4129276,22.2615986,-0.0662225,22.1948185,18.7567043,-0.8531126,17.9039574,65.9619904,99.9955139,,
18.4276714,-1.3429849,17.0846901,16.7690086,-1.7605746,15.0080853,14.2790966,-1.8564889,12.4229097,27.7255592,2.7449381,30.4709377,22.2323036,-0.0449748,22.1867714,18.752037,-0.8346493,17.9177513,65.9493256,99.9952698,,
18.3635597,-1.3323282,17.0312309,16.7181301,-1.7643633,14.9534178,14.21626,-1.8563616,12.3601971,27.6743965,2.7667215,30.4415627,22.1949768,-0.045834,22.1485844,18.7187691,-0.8280838,17.8910503,65.9484482,99.995224,,
18.3064842,-1.3383886,16.9680977,16.6430073,-1.7695223,14.8731384,14.1361103,-1.8615263,12.2748852,27.6382141,2.7771764,30.4158363,22.1543655,-0.0466876,22.1071205,18.6682167,-0.8242117,17.8443718,65.8942108,99.9951324,,
