t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
10.0,27.1,0.599,16.244,490,494.3353766,456.3089311,0.92,103.2,20.94,29.0,31.4,7.87,2.2,17.22,3.49,16.05,4.63,20.86,0.07,122,25,114,33,0,,0,REST,18.5,64,643,756,3499,145.8,2.43,0,55.7,0,919,2580,0,26.3,73.7,0.92,0,1.07,1.14,2.21,0.48,0.18,1.211,0,0,0,,18,90.8,0,0.56,35.02
20.0,22.33,0.721,16.102,604,520.5524927,479.6985946,0.92,122.3,26.7,27.9,30.3,8.28,2.4,16.96,3.7,15.74,4.83,20.83,0.08,120,26,112,34,0,,0,REST,18.5,64,643,756,3683,153.5,2.56,0,58.6,0,987,2697,0,26.8,73.2,0.92,0,1.02,1.67,2.69,0.38,0.18,1.207,10,0,0,,19,90.9,0,0.71,36.3
30.0,19.8,0.972,19.241,911,624.8319414,581.6130489,0.93,164.9333333,36.4333333,28.6,30.7,9.94,2.8,16.97,3.75,16.02,4.58,20.87,0.07,120,27,114,32,0,,0,REST,18.5,64,643,756,4430,184.6,3.08,1,70.5,0,1046,3384,0,23.6,76.4,0.93,0,1.41,1.62,3.03,0.47,0.16,1.284,10,0,0,,23,89.1,0,0.69,34.72
40.0,20.64,0.903,18.633,775,544.9151164,543.318734,1.0,156.0333333,32.7,31.5,31.6,8.67,2.5,17.29,3.62,16.38,4.56,20.84,0.07,123,26,116,32,0,,0,REST,18.5,64,643,756,3921,163.4,2.72,1,62.4,0,39,3882,0,1.0,99.0,1.0,0,1.46,1.45,2.91,0.5,0.18,1.27,10,0,0,,20,89.4,0,0.62,34.6
50.0,19.67,1.294,25.456,844,714.5820593,731.4683148,1.02,225.625,46.1,33.7,32.9,11.37,3.2,17.44,3.56,16.57,4.45,20.87,0.06,124,25,117,32,0,,0,REST,18.5,64,643,756,5172,215.5,3.59,2,82.3,0,0,5172,0,0.0,100.0,1.02,0,1.48,1.57,3.05,0.49,0.2,1.406,10,0,0,,26,85.5,0,0.87,33.91
60.0,21.13,1.104,23.331,831,578.6082186,634.7214721,1.1,196.5,37.2666667,37.8,34.4,9.21,2.6,17.79,3.37,17.03,4.2,20.87,0.06,126,24,121,30,0,,0,REST,18.5,64,643,756,4255,177.3,2.95,2,67.7,0,0,4255,0,0.0,100.0,1.1,0,1.47,1.37,2.84,0.52,0.2,1.368,10,0,0,,21,86.7,0,0.75,32.32
70.0,22.77,1.009,22.975,802,561.4666786,643.4669428,1.15,179.7,35.025,38.1,33.2,8.93,2.6,17.81,3.47,17.13,4.24,20.88,0.06,126,25,121,30,0,,0,REST,18.5,63,643,756,4172,173.9,2.9,3,66.4,0,0,4172,0,0.0,100.0,1.15,0,1.38,1.26,2.64,0.52,0.17,1.361,10,0,0,,21,86.9,0,0.73,32.55
80.0,22.54,0.838,18.89,796,406.0582504,487.5234729,1.2,152.05,26.875,42.6,35.5,6.46,1.8,18.14,3.21,17.3,4.13,20.86,0.06,129,23,123,29,0,,0,REST,18.5,63,643,756,3053,127.2,2.12,3,48.6,0,0,3053,0,0.0,100.0,1.2,0,1.4,1.26,2.66,0.53,0.2,1.276,10,0,0,,15,89.3,0,0.6,31.87
90.0,22.39,0.839,18.776,722,390.8929128,478.0028054,1.22,152.7333333,26.6,44.0,36.0,6.22,1.8,18.21,3.17,17.35,4.04,20.86,0.07,129,22,123,29,0,,0,REST,18.5,63,643,756,2952,123.0,2.05,3,47.0,0,0,2952,0,0.0,100.0,1.22,0,1.22,1.46,2.68,0.46,0.2,1.274,10,0,0,,14,89.3,0,0.69,31.3
100.0,20.44,1.031,21.082,820,514.8271911,598.8705998,1.16,183.575,36.325,38.2,32.8,8.19,2.3,17.8,3.52,16.92,4.42,20.88,0.06,126,25,120,31,0,,0,REST,18.5,63,643,756,3840,160.0,2.67,4,61.1,0,0,3840,0,0.0,100.0,1.16,0,1.47,1.46,2.94,0.5,0.19,1.324,10,0,0,,19,88.0,0,0.7,33.7
110.0,22.73,0.915,20.79,702,515.5509755,570.7181823,1.11,162.475,31.25,37.2,33.6,8.2,2.3,17.76,3.42,16.94,4.29,20.85,0.08,126,24,120,30,0,,0,REST,18.5,63,643,756,3799,158.3,2.64,4,60.5,0,0,3799,0,0.0,100.0,1.11,0,1.33,1.31,2.64,0.5,0.19,1.318,10,0,0,,19,88.2,0,0.69,32.86
120.0,22.7,0.696,15.806,644,386.0851901,411.1300931,1.06,124.4333333,22.5333333,36.8,34.6,6.14,1.8,17.87,3.24,17.05,4.1,20.88,0.07,127,23,121,29,0,,0,REST,18.5,63,643,756,2819,117.5,1.96,5,44.9,0,0,2819,0,0.0,100.0,1.06,0,1.39,1.26,2.64,0.52,0.17,1.199,10,0,0,,14,91.0,0,0.5,31.66
130.0,15.75,1.111,17.491,874,537.1362253,558.3561026,1.04,189.9,43.9333333,30.5,29.4,8.55,2.4,17.1,3.96,16.14,4.86,20.87,0.07,121,28,114,34,0,,0,REST,18.5,63,643,756,3901,162.5,2.71,5,62.1,0,0,3901,0,0.0,100.0,1.04,0,1.74,2.07,3.81,0.46,0.17,1.243,10,0,0,,20,90.1,0,0.64,36.53
140.0,25.95,0.763,19.797,685,703.8852931,636.1274925,0.9,126.65,30.475,25.5,28.3,11.2,3.2,16.6,3.99,15.44,5.01,20.84,0.08,118,28,109,36,30,0.48,73,WARMUP,18.5,63,643,756,4961,206.7,3.44,6,78.9,0,1630,3331,0,32.9,67.1,0.9,0,1.06,1.26,2.31,0.46,0.15,1.297,10,0,0,,26,88.8,30,0.72,37.47
150.0,29.79,1.103,32.86,866,1141.1091891,1042.6086704,0.91,184.28,43.44,27.0,29.5,18.16,5.2,16.71,3.94,15.61,4.89,20.86,0.08,118,28,111,35,30,0.48,75,WARMUP,18.5,63,643,756,8060,335.8,5.6,6,128.2,0,2375,5685,0,29.5,70.5,0.91,0,1.09,0.93,2.01,0.54,0.18,1.517,10,0,0,,42,81.3,30,1.02,36.7
160.0,31.06,1.144,35.529,959,1158.2423617,1115.1504999,0.96,193.3,44.75,28.8,29.9,18.43,5.3,16.9,3.91,15.84,4.9,20.84,0.09,120,28,112,35,30,0.48,78,WARMUP,18.5,63,643,756,8271,344.6,5.74,7,131.6,0,1050,7221,0,12.7,87.3,0.96,0,1.01,0.92,1.93,0.53,0.18,1.551,10,0,0,,43,79.8,30,1.13,36.8
