t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VEVO2,VEVCO2,VO2/kg,METS,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Power,PWR,RPM,Phase,Amb. Temp.,RH Amb,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,Fat,CHO,PRO%,FAT%,CHO%,npRQ,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Distance,Phase time,VO2/kg%Pred,BR,RealPower,VT/Ti,PaCO2_e
5.0,10.31,2.214,22.825,335,1122.2633873,994.1251265,0.89,334.9,115.9,19.7,22.2,14.38,4.1,15.13,5.23,14.19,6.04,20.84,0.05,110,38,103,44,0,,0,NONE,18.2,51,659,772,7877,328.2,5.47,0,100.9,0,3070,4808,0,39.0,61.0,0.89,0,1.15,4.67,5.82,0.2,0.12,1.358,0,0,0,,33,89.2,0,1.93,44.91
11.0,10.87,2.074,22.543,1268,1028.9565763,875.2869115,0.85,322.0,96.9,21.2,24.9,13.18,3.8,15.53,4.67,14.22,5.83,20.79,0.05,113,34,103,42,0,,0,NONE,18.2,51,659,772,7165,298.5,4.98,0,91.8,0,3652,3513,0,51.0,49.0,0.85,0,1.64,3.88,5.52,0.3,0.19,1.353,6,0,0,,31,89.3,0,1.26,43.54
16.0,10.62,1.992,21.154,1617,974.3827999,816.255621,0.84,308.2,92.5,20.9,25.0,12.48,3.6,15.47,4.64,14.37,5.59,20.77,0.05,112,34,104,41,0,,0,NONE,18.2,51,660,772,6765,281.9,4.7,1,86.7,0,3747,3018,0,55.4,44.6,0.84,0,2.78,2.87,5.65,0.49,0.16,1.325,5,0,0,,29,90.0,0,0.72,41.97
26.0,11.03,0.457,5.04,75,144.6430578,127.1685091,0.88,79.7,14.0,29.5,33.6,1.85,0.5,17.44,3.06,15.68,4.62,20.77,0.06,126,22,114,33,0,,0,NONE,18.3,51,659,772,1014,42.2,0.7,1,13.0,0,418,596,0,41.2,58.8,0.88,0,1.35,4.09,5.44,0.25,0.22,0.702,10,0,0,,4,97.6,0,0.34,35.64
30.0,15.23,1.539,23.437,1561,864.7170016,755.8370943,0.87,254.6,59.7,25.9,29.6,11.08,3.2,16.54,3.88,15.24,5.14,20.82,0.04,120,28,110,37,0,,0,NONE,18.3,51,659,772,6053,252.2,4.2,1,77.6,0,2601,3452,0,43.0,57.0,0.87,0,2.45,1.49,3.94,0.62,0.23,1.37,4,0,0,,26,88.9,0,0.63,39.04
34.0,15.15,1.75,26.515,367,1200.395574,1031.8551512,0.86,272.8,82.3,21.2,24.7,15.38,4.4,15.59,4.7,14.58,5.6,20.82,0.07,113,34,106,41,0,,0,NONE,18.3,51,659,772,8376,349.0,5.82,2,107.3,0,4014,4362,0,47.9,52.1,0.86,0,1.16,2.8,3.96,0.29,0.15,1.423,4,0,0,,36,87.5,0,1.51,42.04
40.0,10.03,1.513,15.181,1100,632.253552,549.052177,0.87,241.9,65.9,22.9,26.4,8.1,2.3,15.99,4.36,14.41,5.64,20.81,0.05,116,32,104,41,0,,0,NONE,18.3,51,660,772,4420,184.2,3.07,2,56.6,0,1985,2435,0,44.9,55.1,0.87,0,1.77,4.21,5.98,0.3,0.21,1.181,6,0,0,,19,92.8,0,0.85,42.3
48.0,16.17,0.667,10.787,347,311.5465275,264.0071863,0.85,116.6,19.7,31.0,36.6,3.99,1.1,17.48,2.95,15.33,4.89,20.81,0.04,127,21,111,35,0,,0,NONE,18.3,51,659,772,2168,90.3,1.51,2,27.8,0,1129,1039,0,52.1,47.9,0.85,0,1.12,2.59,3.71,0.3,0.32,1.033,8,0,0,,9,94.9,0,0.6,37.41
52.0,14.74,1.807,26.639,489,1279.0968277,1056.2521575,0.83,276.5,86.2,20.0,24.2,16.39,4.7,15.3,4.77,13.98,5.81,20.81,0.05,111,35,101,42,0,,0,NONE,18.3,51,660,772,8857,369.0,6.15,3,113.5,0,5266,3590,0,59.5,40.5,0.83,0,1.17,2.9,4.07,0.29,0.16,1.426,4,0,0,,38,87.4,0,1.54,43.41
59.0,19.48,0.578,11.26,36,380.0872298,305.9052622,0.8,98.0,19.1,26.0,32.4,4.87,1.4,16.96,3.3,15.31,4.88,20.81,0.07,123,24,111,35,0,,0,NONE,18.3,51,659,772,2619,109.1,1.82,3,33.6,0,1745,874,0,66.6,33.4,0.8,0,0.85,2.23,3.08,0.28,0.24,1.052,7,0,0,,11,94.7,0,0.68,37.34
63.0,12.82,2.159,27.679,675,1353.9872476,1112.6797229,0.82,327.8,104.4,19.8,24.1,17.35,5.0,15.18,4.84,13.99,5.8,20.79,0.05,110,35,101,42,0,,0,NONE,18.3,51,660,772,9366,390.3,6.5,3,120.0,0,5697,3669,0,60.8,39.2,0.82,0,1.28,3.4,4.68,0.27,0.16,1.442,4,0,0,,40,86.9,0,1.69,43.34
69.0,9.76,1.562,15.239,1342,717.2973188,595.9436329,0.83,240.3,73.5,20.3,24.4,9.19,2.6,15.38,4.71,14.08,5.73,20.79,0.05,112,34,102,42,0,,0,NONE,18.3,51,659,772,4972,207.2,3.45,4,63.7,0,2871,2101,0,57.7,42.3,0.83,0,2.32,3.83,6.15,0.38,0.16,1.183,6,0,0,,21,92.8,0,0.67,42.88
75.0,10.26,1.478,15.159,1229,672.989102,563.9770305,0.84,231.8,66.2,21.5,25.6,8.62,2.5,15.68,4.48,14.16,5.66,20.79,0.05,114,32,103,41,0,,0,NONE,18.3,51,659,772,4673,194.7,3.25,4,59.9,0,2583,2090,0,55.3,44.7,0.84,0,2.07,3.78,5.85,0.35,0.19,1.181,6,0,0,,20,92.8,0,0.71,42.43
82.0,17.29,1.623,28.063,297,1253.7316752,1065.9501684,0.85,253.8,74.2,21.4,25.2,16.06,4.6,15.64,4.57,14.42,5.63,20.79,0.05,113,33,105,41,0,,0,NONE,18.3,51,659,772,8729,363.7,6.06,5,111.8,0,4462,4267,0,51.1,48.9,0.85,0,0.89,2.58,3.47,0.26,0.17,1.448,7,0,0,,37,86.7,0,1.82,42.23
87.0,11.63,1.337,15.547,1225,656.2728691,565.8573931,0.86,212.3,58.6,22.4,26.0,8.41,2.4,15.88,4.38,14.51,5.52,20.76,0.05,115,32,105,40,0,,0,NONE,18.3,51,659,772,4582,190.9,3.18,5,58.7,0,2154,2427,0,47.0,53.0,0.86,0,1.94,3.22,5.16,0.38,0.18,1.192,5,0,0,,19,92.6,0,0.69,41.52
