O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
12.1873198,-0.6005955,11.5866547,13.6452208,-0.5456943,13.0994263,14.0666752,-0.3707767,13.6959991,15.4646559,-0.8169315,14.648407,15.922472,-1.1108068,14.8112612,15.0071287,-0.7230663,14.2841434,73.0764923,99.9820099,,
12.1262779,-0.5889236,11.5372829,13.5649872,-0.5420996,13.0227871,13.9601669,-0.3726224,13.5876436,15.3414669,-0.8276287,14.5145235,15.7896729,-1.1305701,14.658699,14.8254347,-0.7444189,14.0810957,73.0204773,99.9821548,,
12.0027781,-0.5837903,11.4189186,13.4324903,-0.5443224,12.8880672,13.8050709,-0.3787102,13.4264603,15.1486082,-0.8290761,14.3202162,15.592885,-1.1561372,14.4363403,14.5999451,-0.7740063,13.8260193,72.9601974,99.9823227,,
11.8687057,-0.6035532,11.2650852,13.2616291,-0.5640799,12.6974497,13.6141405,-0.4042941,13.2099476,14.9767809,-0.88156,14.0959044,15.379982,-1.1914942,14.1880817,14.3587646,-0.8185979,13.5402479,72.8627319,99.9823456,,
11.7220716,-0.6403393,11.0816631,13.0693235,-0.6080946,12.4611292,13.3909779,-0.45692,12.9341583,14.8159637,-0.9217672,13.8948793,15.1748295,-1.2388815,13.9355412,14.1277981,-0.8825586,13.2453213,72.7696304,99.982338,,
11.5667763,-0.6668984,10.8998089,12.8789959,-0.6508125,12.2280846,13.1714582,-0.5077151,12.6638422,14.6577396,-0.9536786,13.7047472,14.9795427,-1.2937236,13.6854095,13.8856277,-0.9408829,12.9448271,72.7054367,99.9822006,,
11.4410362,-0.684203,10.7567644,12.7049694,-0.6783336,12.0265341,12.9708385,-0.5463611,12.4245768,14.5340347,-0.9987294,13.5359926,14.8075199,-1.3530034,13.4541063,13.6692305,-1.0051849,12.6641273,72.622757,99.9821091,,
11.3295317,-0.6836907,10.6457729,12.5690622,-0.696395,11.8725662,12.7922649,-0.5707868,12.2215786,14.4524384,-1.0359905,13.4171352,14.6539717,-1.3872653,13.2662945,13.472229,-1.056833,12.4154787,72.5536652,99.982193,,
11.2443867,-0.6772621,10.5670576,12.4631138,-0.7047759,11.7582369,12.6480417,-0.5880629,12.0600758,14.3837986,-1.0367908,13.3476925,14.5737276,-1.4150876,13.1582289,13.3266659,-1.0948416,12.2319078,72.4977875,99.9824295,,
11.1924152,-0.6771002,10.5152473,12.3740711,-0.7073353,11.6666365,12.5215244,-0.5989662,11.9226551,14.3566818,-1.0338953,13.3234711,14.5008774,-1.4309013,13.0695629,13.1945009,-1.1208889,12.0736942,72.4022522,99.9827347,,
11.1339512,-0.6710562,10.4628277,12.2891846,-0.7018598,11.587225,12.4152298,-0.6042532,11.8110733,14.3299913,-1.0339291,13.2967482,14.4251881,-1.4310212,12.9937544,13.0649157,-1.1306751,11.9343233,72.3390884,99.9830475,,
11.050127,-0.6652198,10.38484,12.1903715,-0.7023205,11.4879513,12.2830496,-0.6068883,11.676259,14.2620068,-1.0286959,13.2339964,14.3360014,-1.4413455,12.8942432,12.9285278,-1.1459568,11.7826538,72.2585068,99.983284,,
10.9497051,-0.6547101,10.2949276,12.0867214,-0.7037012,11.3829212,12.1501961,-0.6091227,11.5411701,14.1593876,-1.0094275,13.1506453,14.2460327,-1.4502937,12.7953262,12.7780581,-1.1558955,11.6222448,72.2028351,99.9834061,,
10.8662071,-0.6611446,10.2049952,11.976037,-0.7046691,11.2712679,12.0192442,-0.6151303,11.404213,14.1011686,-1.0320938,13.0697613,14.1302824,-1.4493033,12.6805658,12.6321754,-1.168613,11.463644,72.1075592,99.9836578,,
