O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI Fit Factor,Event,Event Time
0.1240681,-0.2938125,-0.1697897,-0.281786,-0.5327371,-0.8146231,-0.1929647,-0.4900849,-0.6829753,0.3568138,0.0596627,0.4172103,-0.4342018,-0.4257126,-0.8603786,-0.0792335,-0.2340214,-0.3131528,65.8221817,99.9467697,,
0.125111,-0.2926971,-0.1676315,-0.2846549,-0.5355309,-0.8202857,-0.2015241,-0.4905615,-0.6920112,0.3817081,0.0532198,0.4356616,-0.4432845,-0.4228783,-0.866627,-0.0844879,-0.2349552,-0.3193411,65.8089752,99.9465561,,
0.1185295,-0.2923847,-0.1739005,-0.2837353,-0.5336872,-0.8175225,-0.1999765,-0.4888112,-0.6887134,0.364728,0.0600563,0.4255181,-0.4462612,-0.4185033,-0.8652285,-0.0870994,-0.2311169,-0.3181141,65.8164673,99.9468231,,
0.1119137,-0.2902705,-0.1784021,-0.2861207,-0.536242,-0.8224629,-0.2062442,-0.491135,-0.6973049,0.3406232,0.0753812,0.4167382,-0.4405653,-0.4238706,-0.8649,-0.0963536,-0.2298552,-0.3261067,65.8252335,99.9468689,,
0.095601,-0.2912801,-0.1957244,-0.2970504,-0.5402508,-0.8374011,-0.2195045,-0.4942011,-0.7136314,0.3302693,0.0745658,0.405569,-0.4544217,-0.4230739,-0.8779597,-0.1079748,-0.2312942,-0.3391669,65.8299255,99.946907,,
0.0915344,-0.2942348,-0.2027458,-0.3085982,-0.537914,-0.8466123,-0.2303056,-0.494615,-0.7248463,0.3295658,0.0695822,0.399882,-0.4666577,-0.4186195,-0.8857412,-0.1177068,-0.2305747,-0.3481793,65.8107071,99.9470596,,
0.0885933,-0.2956891,-0.207141,-0.3189861,-0.5347547,-0.8538408,-0.2440299,-0.4927162,-0.7366718,0.3252972,0.0698263,0.3958575,-0.4789121,-0.4141583,-0.8935345,-0.1330331,-0.2277894,-0.3607203,65.7812881,99.9472275,,
0.0683868,-0.2972034,-0.2288617,-0.3357231,-0.5394318,-0.8752549,-0.2587066,-0.4996527,-0.758285,0.3003002,0.0684471,0.3694813,-0.4980001,-0.4161674,-0.9146317,-0.1500057,-0.2312185,-0.381122,65.7986298,99.9472275,,
0.0490176,-0.301685,-0.2527125,-0.3569768,-0.5444417,-0.9015185,-0.2802776,-0.5031854,-0.7833887,0.2923069,0.0641525,0.3571934,-0.5119122,-0.424292,-0.9366687,-0.1738505,-0.233177,-0.4069254,65.7862701,99.9470673,,
0.039991,-0.312872,-0.2729261,-0.3666658,-0.5553032,-0.922069,-0.2887697,-0.5106879,-0.7993835,0.2727706,0.0627502,0.3362549,-0.5275902,-0.4313134,-0.9593681,-0.183424,-0.240046,-0.4233679,65.7804184,99.9468231,,
